id|http://www.okkam.org/ontology_restaurant2.owl#name|http://www.okkam.org/ontology_restaurant2.owl#phone_number|http://www.okkam.org/ontology_restaurant2.owl#street|aggregate value
108|||2 new montgomery st.  at market st.|2 new montgomery st.  at market st.
109|asian|||asian
110|le chardonnay (los angeles)|213-655-8880||le chardonnay (los angeles) 213-655-8880
111|millennium|415/487-9800||millennium 415/487-9800
112|||39 desbrosses st.  near west st.|39 desbrosses st.  near west st.
113|hamburgers|||hamburgers
114|fishin eddie|212/874-3474||fishin eddie 212/874-3474
115|||1611 post st.|1611 post st.
116|asian|||asian
117|||4330 peachtree rd.|4330 peachtree rd.
118|steakhouses|||steakhouses
119|tortillas|404-892-0193||tortillas 404-892-0193
120|||458 6th ave. at 11th st.|458 6th ave. at 11th st.
121|vietnamese|||vietnamese
122|global|212/477-8427||global 212/477-8427
123|||1570 rosecrans ave. s.|1570 rosecrans ave. s.
124|duke's|310-652-3100||duke's 310-652-3100
125|asian|||asian
126|ebisu|415-566-1770||ebisu 415-566-1770
127|pizza|||pizza
128|||10428 1/2 national blvd.|10428 1/2 national blvd.
129|french|||french
130|johnny rockets (la)|213-651-3361||johnny rockets (la) 213-651-3361
131|steakhouses|||steakhouses
132|||15 e. 12th st.  between 5th ave. and university pl.|15 e. 12th st.  between 5th ave. and university pl.
133|italian|||italian
134|motown cafe|212/581-8030||motown cafe 212/581-8030
135|steakhouses|||steakhouses
136|||40  buckhead crossing mall on the sidney marcus blvd.|40  buckhead crossing mall on the sidney marcus blvd.
137|italian|||italian
138|||22800 pch|22800 pch
139|russian/german|||russian/german
140|sign of the dove|212-861-8080||sign of the dove 212-861-8080
141|californian|||californian
142|michael's (los angeles)|310-451-0843||michael's (los angeles) 310-451-0843
143|||322 w. 46th st.|322 w. 46th st.
144|peacock alley|212/872-4895||peacock alley 212/872-4895
145|||432 sixth ave.|432 sixth ave.
146|||155 e. 55th st.|155 e. 55th st.
147|seafood|||seafood
148|||1401 ocean ave.|1401 ocean ave.
149|french (new)|||french (new)
150|american (new)|||american (new)
151|abruzzi|404-261-8186||abruzzi 404-261-8186
152|||371 w. 46th st.  off 9th ave.|371 w. 46th st.  off 9th ave.
153|rosa mexicano|212/753-7407||rosa mexicano 212/753-7407
154|||3 e. 52nd st.|3 e. 52nd st.
155|||2245 e. flamingo rd.|2245 e. flamingo rd.
156|nobu|212-219-0500||nobu 212-219-0500
157|asian|||asian
158|american|||american
159|||8020 beverly blvd.|8020 beverly blvd.
160|schatzi on main|310/399-4800||schatzi on main 310/399-4800
161|italian|||italian
162|nikolai's roof|404-221-6362||nikolai's roof 404-221-6362
163|||19 old fulton st.|19 old fulton st.
164|||224 ponce de leon ave.|224 ponce de leon ave.
165|sylvia's|212-996-0660||sylvia's 212-996-0660
166|international|||international
167|health food|||health food
168|||304 e. 48th st.|304 e. 48th st.
169|agrotikon|212/473-2602||agrotikon 212/473-2602
170|eclectic|||eclectic
171|||market and new montgomery sts.|market and new montgomery sts.
172|american|||american
173|||106 bayard st.|106 bayard st.
174|||804 north point st.|804 north point st.
175|buccaneer bay club|702-894-7350||buccaneer bay club 702-894-7350
176|lowcountry barbecue|404/255-5160||lowcountry barbecue 404/255-5160
177|italian|||italian
178|big cup|212/206-0059||big cup 212/206-0059
179|hamburgers|||hamburgers
180|||3345 steiner st.|3345 steiner st.
181|coffee shops/diners|||coffee shops/diners
182|le soleil|415/668-4848||le soleil 415/668-4848
183|||219 w. broadway  between franklin and white sts.|219 w. broadway  between franklin and white sts.
184|||247 buckhead ave.  east village sq.|247 buckhead ave.  east village sq.
185|south city kitchen|404/873-7358||south city kitchen 404/873-7358
186|||1031 ponce de leon ave.|1031 ponce de leon ave.
187|american|||american
188|ritz-carlton cafe (atlanta)|404-659-0400||ritz-carlton cafe (atlanta) 404-659-0400
189|||246 mcallister st.|246 mcallister st.
190|asian|||asian
191|||73 w. 71st st.|73 w. 71st st.
192|hamburgers|||hamburgers
193|fujiyama mama|212/769-1144||fujiyama mama 212/769-1144
194|french|||french
195|||774 ponce de leon ave. ne|774 ponce de leon ave. ne
196|campo santo|415-433-9623||campo santo 415-433-9623
197|french|||french
198|||33 93 2nd ave.  between 5th and 6th sts.|33 93 2nd ave.  between 5th and 6th sts.
199|coffee bar|||coffee bar
200|i trulli|212/481-7372||i trulli 212/481-7372
201|||8909 sunset blvd.|8909 sunset blvd.
202|american|||american
203|american|||american
204|||1283 ninth ave.|1283 ninth ave.
205|mario's bohemian cigar store cafe|415-776-8226||mario's bohemian cigar store cafe 415-776-8226
206|american|||american
207|l'auberge|212/288-8791||l'auberge 212/288-8791
208|||7507 melrose ave.|7507 melrose ave.
209|mediterranean|||mediterranean
210|french (new)|||french (new)
211|local nochol|818-706-7706||local nochol 818-706-7706
212|||104 w. 57th st.  near 6th ave.|104 w. 57th st.  near 6th ave.
213|||1147 third st.|1147 third st.
214|american|||american
215|indian|||indian
216|pho hoa|213-626-5530||pho hoa 213-626-5530
217|||301 park ave.  between 49th and 50th sts.|301 park ave.  between 49th and 50th sts.
218|rain|212/501-0776||rain 212/501-0776
219|american|||american
220|american (new)|||american (new)
221|continental|||continental
222|hedgerose heights inn  the|404-233-7673||hedgerose heights inn  the 404-233-7673
223|tommy's|213-389-9060||tommy's 213-389-9060
224|||1063 1st ave. at 58th st.|1063 1st ave. at 58th st.
225|sea grill|212/332-7610||sea grill 212/332-7610
226|||105 hudson st.|105 hudson st.
227|||2290 peachtree rd.|2290 peachtree rd.
228|american|||american
229|||20 mott st.  between bowery and pell st.|20 mott st.  between bowery and pell st.
230|vida|213/660-4446||vida 213/660-4446
231|californian|||californian
232|aqua|415-956-9662||aqua 415-956-9662
233|teresa's|212/228-0604||teresa's 212/228-0604
234|||328 lenox ave.|328 lenox ave.
235|||126 clement st.|126 clement st.
236|windows on the world|212-524-7000||windows on the world 212-524-7000
237|american|||american
238|||1022 3rd ave.  between 60th and 61st sts.|1022 3rd ave.  between 60th and 61st sts.
239|arturo's|212/677-3820||arturo's 212/677-3820
240|mexican|||mexican
241|southern/soul|||southern/soul
242|||617 s. olive st.|617 s. olive st.
243|plumpjack cafe|415-563-4755||plumpjack cafe 415-563-4755
244|||3300 las vegas blvd. s.|3300 las vegas blvd. s.
245|hamburgers|||hamburgers
246|monte carlo|702-733-4524||monte carlo 702-733-4524
247|||6301 roswell rd.  sandy springs plaza  sandy springs|6301 roswell rd.  sandy springs plaza  sandy springs
248|pricci|404/237-2941||pricci 404/237-2941
249|bbq|||bbq
250|bryant park grill  roof restaurant and bp cafe|212/840-6500||bryant park grill  roof restaurant and bp cafe 212/840-6500
251|||111 e. 22nd st.  between park ave. s and lexington ave.|111 e. 22nd st.  between park ave. s and lexington ave.
252|asian|||asian
253|||133 clement st.|133 clement st.
254|steak houses|||steak houses
255|pan-asian|||pan-asian
256|barbecue kitchen|404-766-9906||barbecue kitchen 404-766-9906
257|||1144 crescent ave.|1144 crescent ave.
258|bamboo garden|702/871-3262||bamboo garden 702/871-3262
259|||181 peachtree st.|181 peachtree st.
260|italian|||italian
261|||467 columbus ave.  between 82nd and 83rd sts.|467 columbus ave.  between 82nd and 83rd sts.
262|coffee bar|||coffee bar
263|halcyon|212/468-8888||halcyon 212/468-8888
264|empress court|702/731-7888||empress court 702/731-7888
265|||240 columbus ave.|240 columbus ave.
266|hamburger mary's|415-626-1985||hamburger mary's 415-626-1985
267|american|||american
268|||122 e. 27th st.  between lexington and park aves.|122 e. 27th st.  between lexington and park aves.
269|seafood|||seafood
270|granita|310-456-0488||granita 310-456-0488
271|jewel of india|212/869-5544||jewel of india 212/869-5544
272|||2209 polk st.|2209 polk st.
273|slanted door|415-861-8032||slanted door 415-861-8032
274|||1191 1st ave.  between 64th and 65th sts.|1191 1st ave.  between 64th and 65th sts.
275|italian|||italian
276|le colonial|212/ 752-0808||le colonial 212/ 752-0808
277|||30869 thousand oaks blvd.|30869 thousand oaks blvd.
278|asian|||asian
279|mulberry st.|818-906-8881||mulberry st. 818-906-8881
280|pastis|415/391-2555||pastis 415/391-2555
281|mangia e bevi|212/956-3976||mangia e bevi 212/956-3976
282|||642 broadway|642 broadway
283|american|||american
284|french (classic)|||french (classic)
285|ruth's chris steak house (los angeles)|310-859-8744||ruth's chris steak house (los angeles) 310-859-8744
286|||100 w. 82nd st.|100 w. 82nd st.
287|sal anthony's|212/982-9030||sal anthony's 212/982-9030
288|suppenkuche|415/252-9289||suppenkuche 415/252-9289
289|californian|||californian
290|||2575 beverly blvd.|2575 beverly blvd.
291|hamburgers|||hamburgers
292|ritz-carlton dining room (buckhead)|404-237-2700||ritz-carlton dining room (buckhead) 404-237-2700
293|||19 w. 49th st.|19 w. 49th st.
294|stingray|212/501-7515||stingray 212/501-7515
295|delis|||delis
296|american|||american
297|||2 park ave. at 32nd st.|2 park ave. at 32nd st.
298|||129 n. la cienega blvd.|129 n. la cienega blvd.
299|||816 folsom st.|816 folsom st.
300|||103 1st ave.  between 6th and 7th sts.|103 1st ave.  between 6th and 7th sts.
301|coffee bar|||coffee bar
302|tse yang|212/688-5447||tse yang 212/688-5447
303|khan toke thai house|415-668-6654||khan toke thai house 415-668-6654
304|||107th fl.|107th fl.
305|middle eastern|||middle eastern
306|fiore rotisserie & grille|702-252-7702||fiore rotisserie & grille 702-252-7702
307|carmine's|212-362-2200||carmine's 212-362-2200
308|barbecue|||barbecue
309|||420 e. 59th st.  off 1st ave.|420 e. 59th st.  off 1st ave.
310|bolo|212/228-2200||bolo 212/228-2200
311|continental|||continental
312|||1 w. 67th st.|1 w. 67th st.
313|abbey|404/876-8532||abbey 404/876-8532
314|border grill|310/451-1655||border grill 310/451-1655
315|||346 s. la brea ave.|346 s. la brea ave.
316|||3145 las vegas blvd. s.|3145 las vegas blvd. s.
317|hot dogs|||hot dogs
318|sterling brunch|702-739-4651||sterling brunch 702-739-4651
319|||500 pharr rd.|500 pharr rd.
320|sundown cafe|404/321-1118||sundown cafe 404/321-1118
321|californian|||californian
322|||1437 virginia ave.|1437 virginia ave.
323|drago|310/828-1585||drago 310/828-1585
324|japanese|||japanese
325|carey's corner|770-933-0909||carey's corner 770-933-0909
326|||4850 flamingo rd.|4850 flamingo rd.
327|cafe roma|702/731-7547||cafe roma 702/731-7547
328|italian|||italian
329|mexican/latin american/spanish|||mexican/latin american/spanish
330|||151 w. 54th st.  in the rihga royal hotel|151 w. 54th st.  in the rihga royal hotel
331|cafe bizou|818-788-3536||cafe bizou 818-788-3536
332|johnny rockets (at)|770-955-6068||johnny rockets (at) 770-955-6068
333|||3570 las vegas blvd. s|3570 las vegas blvd. s
334|mikado|702/791-7111||mikado 702/791-7111
335|||1582 folsom st.|1582 folsom st.
336|mo's burgers|415-788-3779||mo's burgers 415-788-3779
337|asian|||asian
338|||15 w. 44th st.|15 w. 44th st.
339|coffee bar|||coffee bar
340|la reserve|212/247-2993||la reserve 212/247-2993
341|bizou|415/543-2222||bizou 415/543-2222
342|||584 valencia st.|584 valencia st.
343|caffe dante|212/982-5275||caffe dante 212/982-5275
344|italian|||italian
345|one market|415/777-5577||one market 415/777-5577
346|||149 e. 57th st.|149 e. 57th st.
347|asian|||asian
348|lincoln tavern|212/721-8271||lincoln tavern 212/721-8271
349|||17040 ventura blvd.|17040 ventura blvd.
350|mexican|||mexican
351|china grill|212/333-7788||china grill 212/333-7788
352|||1015 battery st.|1015 battery st.
353|french (classic)|||french (classic)
354|splendido embarcadero|415/986-3222||splendido embarcadero 415/986-3222
355|||800 9th ave. at 53rd st.|800 9th ave. at 53rd st.
356|american|||american
357|||224 s. beverly dr.|224 s. beverly dr.
358|coffee shops|||coffee shops
359|||55 irving pl.|55 irving pl.
360|||601 hayes st.|601 hayes st.
361|world wrapps|415/563-9727||world wrapps 415/563-9727
362|scandinavian|||scandinavian
363|coffee shops|||coffee shops
364|||428 amsterdam ave.  between 80th and 81st sts.|428 amsterdam ave.  between 80th and 81st sts.
365|french|||french
366|the savannah club|212/496-1066||the savannah club 212/496-1066
367|||777 sutter st.|777 sutter st.
368|caribbean|||caribbean
369|21 club|212-582-7200||21 club 212-582-7200
370|bernard's|213-612-1580||bernard's 213-612-1580
371|international|||international
372|french (new)|||french (new)
373|||67 n. raymond ave.|67 n. raymond ave.
374|rose pistola|415-399-0499||rose pistola 415-399-0499
375|||34 e. 51st st.|34 e. 51st st.
376|american|||american
377|water club|212/683-3333||water club 212/683-3333
378|||9570 wilshire blvd.|9570 wilshire blvd.
379|||3700 w. flamingo rd.|3700 w. flamingo rd.
380|gramercy tavern|212-477-0777||gramercy tavern 212-477-0777
381|american|||american
382|||12 e. 12th st.|12 e. 12th st.
383|||3645 las vegas blvd. s.|3645 las vegas blvd. s.
384|||163 ponce de leon ave.|163 ponce de leon ave.
385|american|||american
386|||168 w. colorado blvd.|168 w. colorado blvd.
387|cafe renaissance|770/441--0291||cafe renaissance 770/441--0291
388|cha cha cha|213/664-7723||cha cha cha 213/664-7723
389|cuban|||cuban
390|bradshaw's restaurant|404-261-7015||bradshaw's restaurant 404-261-7015
391|||2165 cheshire bridge rd.|2165 cheshire bridge rd.
392|montrachet|212-219-2777||montrachet 212-219-2777
393|mediterranean|||mediterranean
394|||57 jane st.|57 jane st.
395|corner bistro|212-242-9502||corner bistro 212-242-9502
396|||1215 powers ferry rd.|1215 powers ferry rd.
397|||301 n. beverly dr.|301 n. beverly dr.
398|hard rock cafe|310/276-7605||hard rock cafe 310/276-7605
399|steakhouses|||steakhouses
400|harold's barbecue|404-627-9268||harold's barbecue 404-627-9268
401|||3570 las vegas blvd. s|3570 las vegas blvd. s
402|golden steer|702/384-4470||golden steer 702/384-4470
403|american|||american
404|kelley & ping|212-228-1212||kelley & ping 212-228-1212
405|american|||american
406|||2970 cobb pkwy.|2970 cobb pkwy.
407|thai|||thai
408|||3400 las vegas blvd. s|3400 las vegas blvd. s
409|acquarello|415/567-5432||acquarello 415/567-5432
410|||1322 grant st.|1322 grant st.
411|american|||american
412|cafe la fortuna|212/724-5846||cafe la fortuna 212/724-5846
413|italian|||italian
414|||4 w. 49th st.|4 w. 49th st.
415|american|||american
416|||598 fourth st.|598 fourth st.
417|italian|||italian
418|cypress club|415/296-8555||cypress club 415/296-8555
419|||81 macdougal st.  between houston and bleeker sts.|81 macdougal st.  between houston and bleeker sts.
420|cafeterias|||cafeterias
421|captain's table|212/697-9538||captain's table 212/697-9538
422|||1 market st.|1 market st.
423|seafood|||seafood
424|||51 w. 64th st.|51 w. 64th st.
425|american|||american
426|||60 w. 53rd st.|60 w. 53rd st.
427|||2709 main st.|2709 main st.
428|cafeterias|||cafeterias
429|diva|212/941-9024||diva 212/941-9024
430|||4|4
431|thepin|415/863-9335||thepin 415/863-9335
432|italian|||italian
433|italian|||italian
434|thai|||thai
435|||2257 chestnut st.|2257 chestnut st.
436|indian|||indian
437|apple pan  the|310-475-3585||apple pan  the 310-475-3585
438|asian|||asian
439|southern/soul|||southern/soul
440|||2420 broadway at 89th st.|2420 broadway at 89th st.
441|american|||american
442|||515 s. olive st.|515 s. olive st.
443|daniel|212-288-0033||daniel 212-288-0033
444|seafood|||seafood
445|cassell's|213-480-8668||cassell's 213-480-8668
446|american (traditional)|||american (traditional)
447|american|||american
448|||2 harrison st.|2 harrison st.
449|||500 e. 30th st.|500 e. 30th st.
450|latin american|||latin american
451|anthonys|404/262-7379||anthonys 404/262-7379
452|||207 s. beverly dr.|207 s. beverly dr.
453|delis|||delis
454|lutece|212-752-2225||lutece 212-752-2225
455|milan cafe and coffee bar|212/807-1801||milan cafe and coffee bar 212/807-1801
456|diners|||diners
457|||2 e. 55th st.|2 e. 55th st.
458|zankou chicken|818-244-1937||zankou chicken 818-244-1937
459|||2911 s. pharr court|2911 s. pharr court
460|||7050 jimmy carter blvd.  norcross|7050 jimmy carter blvd.  norcross
461|continental|||continental
462|fat matt's rib shack|404/607-1622||fat matt's rib shack 404/607-1622
463|eclipse|310/724-5959||eclipse 310/724-5959
464|||1121 s. western ave.|1121 s. western ave.
465|middle eastern|||middle eastern
466|san domenico|212-265-5959||san domenico 212-265-5959
467|american|||american
468|||331 w. fourth st.|331 w. fourth st.
469|||1 water st.|1 water st.
470|gray's papaya|212-799-0243||gray's papaya 212-799-0243
471|asian|||asian
472|||679 n. spring st.|679 n. spring st.
473|le dome|310/659-6919||le dome 310/659-6919
474|||171 mcdonough blvd.|171 mcdonough blvd.
475|japanese|||japanese
476|||308 w. sahara ave.|308 w. sahara ave.
477|asian|||asian
478|||127 greene st.|127 greene st.
479|||3000 paradise rd.|3000 paradise rd.
480|menchanko-tei|212-247-1585||menchanko-tei 212-247-1585
481|rj's the rib joint|310/274-7427||rj's the rib joint 310/274-7427
482|french (classic)|||french (classic)
483|californian|||californian
484|||1722 sacramento st.|1722 sacramento st.
485|asian|||asian
486|cafe marimba|415/776-1506||cafe marimba 415/776-1506
487|||69 w. 71st st.|69 w. 71st st.
488|american|||american
489|french|||french
490|italian|||italian
491|||500 jackson st.|500 jackson st.
492|asian|||asian
493|||860 2nd ave. at 46th st.|860 2nd ave. at 46th st.
494|harbor village|415/781-8833||harbor village 415/781-8833
495|||435 s. la cienega blvd.|435 s. la cienega blvd.
496|vegetarian|||vegetarian
497|columbus bakery|212/421-0334||columbus bakery 212/421-0334
498|italian|||italian
499|continental|||continental
500|kuleto's|415/397-7720||kuleto's 415/397-7720
501|||341 w. broadway  near grand st.|341 w. broadway  near grand st.
502|continental|||continental
503|evergreen cafe|212/744-3266||evergreen cafe 212/744-3266
504|||298 gough st.|298 gough st.
505|american|||american
506|nuevo laredo cantina|404-352-9009||nuevo laredo cantina 404-352-9009
507|patina|213-467-1108||patina 213-467-1108
508|mexican|||mexican
509|fraunces tavern|212/269-0144||fraunces tavern 212/269-0144
510|||10801 w. pico blvd.|10801 w. pico blvd.
511|french (classic)|||french (classic)
512|brighton coffee shop|310-276-7732||brighton coffee shop 310-276-7732
513|french|||french
514|californian|||californian
515|delis|||delis
516|american|||american
517|||3266 w. sixth st.|3266 w. sixth st.
518|mediterranean|||mediterranean
519|hollywood hills coffee shop|213-467-7678||hollywood hills coffee shop 213-467-7678
520|marichu|212/370-1866||marichu 212/370-1866
521|californian|||californian
522|||3109 piedmont rd.  just south of peachtree rd.|3109 piedmont rd.  just south of peachtree rd.
523|american|||american
524|city grill|404/524-2489||city grill 404/524-2489
525|american|||american
526|la cachette|310-470-4992||la cachette 310-470-4992
527|petrossian|212-245-2214||petrossian 212-245-2214
528|bbq|||bbq
529|||120 w. 23rd st.|120 w. 23rd st.
530|odeon|212/233-0507||odeon 212/233-0507
531|||1415 e. colorado st.|1415 e. colorado st.
532|noodle shops|||noodle shops
533|||100 e. 63rd st.|100 e. 63rd st.
534|||1811 piedmont ave.  near cheshire bridge rd.|1811 piedmont ave.  near cheshire bridge rd.
535|american|||american
536|||201 moreno dr.|201 moreno dr.
537|jack sprat's grill|310/837-6662||jack sprat's grill 310/837-6662
538|french (new)|||french (new)
539|union square cafe|212-243-4020||union square cafe 212-243-4020
540|planet hollywood|212/333-7827||planet hollywood 212/333-7827
541|||2090 broadway|2090 broadway
542|la caridad|212-874-2780||la caridad 212-874-2780
543|||747 ninth ave.|747 ninth ave.
544|american|||american
545|chinese|||chinese
546|pacific dining car|213/483-6000||pacific dining car 213/483-6000
547|||1448 n. gower st.|1448 n. gower st.
548|french (new)|||french (new)
549|buckhead diner|404-262-3336||buckhead diner 404-262-3336
550|asian|||asian
551|||39 w. 55th st.|39 w. 55th st.
552|||3393 peachtree rd.|3393 peachtree rd.
553|palm too|212-697-5198||palm too 212-697-5198
554|american|||american
555|the mandarin|310/859-0926||the mandarin 310/859-0926
556|||3835 cross creek rd.|3835 cross creek rd.
557|continental|||continental
558|||2317 chestnut st.|2317 chestnut st.
559|american|||american
560|fog city diner|415/982-2000||fog city diner 415/982-2000
561|thai house cafe|212-334-1085||thai house cafe 212-334-1085
562|ambassador grill|212/702-5014||ambassador grill 212/702-5014
563|cajun/creole|||cajun/creole
564|||4 embarcadero center|4 embarcadero center
565|buffets|||buffets
566|il fornaio levi's plaza|415/986-0100||il fornaio levi's plaza 415/986-0100
567|||53rd sts.|53rd sts.
568|duane park cafe|212/732-5555||duane park cafe 212/732-5555
569|mi spia dunwoody rd.|770/393-1333||mi spia dunwoody rd. 770/393-1333
570|lettuce souprise you (at)|770-418-9969||lettuce souprise you (at) 770-418-9969
571|||221 powell st.|221 powell st.
572|buffets|||buffets
573|l'orangerie|310-652-9770||l'orangerie 310-652-9770
574|mccormick & kuleto's|415/929-1730||mccormick & kuleto's 415/929-1730
575|||1288 1st ave. at 69th st.|1288 1st ave. at 69th st.
576|chinese|||chinese
577|first|212/674-3823||first 212/674-3823
578|french|||french
579|||1495 chattahoochee ave. nw|1495 chattahoochee ave. nw
580|thelma's kitchen|404-688-5855||thelma's kitchen 404-688-5855
581|||54 pearl st. at broad st.|54 pearl st. at broad st.
582|thai|||thai
583|girafe|212/752-3054||girafe 212/752-3054
584|||9600 brighton way|9600 brighton way
585|don antonio's|310-209-1422||don antonio's 310-209-1422
586|french|||french
587|dusit thai|415-826-4639||dusit thai 415-826-4639
588|indochine|212/505-5111||indochine 212/505-5111
589|||6145 franklin ave.|6145 franklin ave.
590|italian|||italian
591|johnny reb's southern smokehouse|310-423-7327||johnny reb's southern smokehouse 310-423-7327
592|american (new)|||american (new)
593|||342 e. 46th st.  between 1st and 2nd aves.|342 e. 46th st.  between 1st and 2nd aves.
594|american|||american
595|morton's|212/972-3315||morton's 212/972-3315
596|hamburgers|||hamburgers
597|||50 hurt plaza|50 hurt plaza
598|||10506 little santa monica blvd.|10506 little santa monica blvd.
599|maxwell's cafe|310-306-7829||maxwell's cafe 310-306-7829
600|asian|||asian
601|shun lee palace|212-371-8844||shun lee palace 212-371-8844
602|italian|||italian
603|||145 w. broadway at thomas st.|145 w. broadway at thomas st.
604|patria|212/777-6211||patria 212/777-6211
605|delicatessen|||delicatessen
606|||601 s. figueroa st.|601 s. figueroa st.
607|continental|||continental
608|rae's|310-828-7937||rae's 310-828-7937
609|tillerman  the|702-731-4036||tillerman  the 702-731-4036
610|||140 w. 57th st.|140 w. 57th st.
611|roettelle a. g|212/674-4140||roettelle a. g 212/674-4140
612|||2199 broadway|2199 broadway
613|||2880 las vegas blvd. s.|2880 las vegas blvd. s.
614|moustache|718-852-5555||moustache 718-852-5555
615|coffee bar|||coffee bar
616|||3rd st.|3rd st.
617|roscoe's house of chicken 'n' waffles|213/466-9329||roscoe's house of chicken 'n' waffles 213/466-9329
618|italian|||italian
619|mary mac's tea room|404-876-1800||mary mac's tea room 404-876-1800
620|shaan|212/ 977-8400||shaan 212/ 977-8400
621|||840 second ave.|840 second ave.
622|sushisay|212-755-1780||sushisay 212-755-1780
