id|title|starring|writer|editor|aggregate value
50|Ghosts of Mars|Pamela Suzette Grier|John Howard Carpenter||Ghosts of Mars Pamela Suzette Grier John Howard Carpenter
51||Ralph Bates|Tudor Gates||Ralph Bates Tudor Gates
52||Larry Fine (actor)|||Larry Fine (actor)
53||Gregory Neale Harrison|Mark Ganzel Barry Kemp||Gregory Neale Harrison Mark Ganzel Barry Kemp
54||Eiji Wentz|Toshiki Inoue||Eiji Wentz Toshiki Inoue
55|Don't Look Now|Julie Frances Christie|Allan Scott (screenwriter)||Don't Look Now Julie Frances Christie Allan Scott (screenwriter)
56|One More Time|Peter Sydney Lawford|Michael Pertwee||One More Time Peter Sydney Lawford Michael Pertwee
57|His Favourite Pastime|Viola Barry|Craig Hutchinson||His Favourite Pastime Viola Barry Craig Hutchinson
58|Un Chant d'Amour|Java (actor)|Jean Genet||Un Chant d'Amour Java (actor) Jean Genet
59||Ruth Elizabeth Davis|David Greene Barry Oringer||Ruth Elizabeth Davis David Greene Barry Oringer
60|Wild Country|Peter Capaldi|Craig Strachan||Wild Country Peter Capaldi Craig Strachan
61||Sombat Metanee|Rattan Pestonji||Sombat Metanee Rattan Pestonji
62||Leslie Wing|Rosemarie Turko||Leslie Wing Rosemarie Turko
63||Peter Reid (triathlete)|||Peter Reid (triathlete)
64||Kenji Oyama|Torashiro Sait?||Kenji Oyama Torashiro Sait?
65|The Squaw Man|Elliott Dexter|Beulah Marie Dix Edwin Milton Royle||The Squaw Man Elliott Dexter Beulah Marie Dix Edwin Milton Royle
66|Caravaggio|Shaun Mark Bean|Derek Jarman Suso Cecchi d'Amico Nicholas Ward-Jackson (story)||Caravaggio Shaun Mark Bean Derek Jarman Suso Cecchi d'Amico Nicholas Ward-Jackson (story)
67|Bedtime Story|Shirley Mae Jones|Paul Henning||Bedtime Story Shirley Mae Jones Paul Henning
68|The Blood of a Poet|Pauline Carton|||The Blood of a Poet Pauline Carton
69|Two English Girls|Jean-Pierre L?aud|Franu00E7ois Roland Truffaut||Two English Girls Jean-Pierre L?aud Franu00E7ois Roland Truffaut
70||Carol J. Clover|||Carol J. Clover
71|Columbia Pictures||||Columbia Pictures
72|Luke, Patient Provider|Harold Lloyd|||Luke, Patient Provider Harold Lloyd
73|Blood Feast|William Kerwin|David F. Friedman||Blood Feast William Kerwin David F. Friedman
74|Sweet Dreams|Edward Allen Harris|Robert Getchell||Sweet Dreams Edward Allen Harris Robert Getchell
75||Ashfaq Bhatti|||Ashfaq Bhatti
76|Country Dance|Michael Craig|James Kennaway||Country Dance Michael Craig James Kennaway
77|The Seeker|Amelia Warner|John Hodge||The Seeker Amelia Warner John Hodge
78||Bob Dylan|||Bob Dylan
79|Mysterious Skin|Richard Riehle|Scott Heim||Mysterious Skin Richard Riehle Scott Heim
80|Alien Love Triangle|Kenneth Charles Branagh|John Hodge (screenwriter)||Alien Love Triangle Kenneth Charles Branagh John Hodge (screenwriter)
81||Kathy Ann Najimy|Peter Michael Paige||Kathy Ann Najimy Peter Michael Paige
82|Dead Man|John Christopher Depp II|James R. Jarmusch||Dead Man John Christopher Depp II James R. Jarmusch
83||Dave Grohl|Jed Shepherd||Dave Grohl Jed Shepherd
84|||Kaneto Shind?||Kaneto Shind?
85|Long Wolf and Cub: Baby Cart in Land of Demons|Tomisaburo Wakayama|Kazuo Koike||Long Wolf and Cub: Baby Cart in Land of Demons Tomisaburo Wakayama Kazuo Koike
86|Starman|Karen Jane Allen|Bruce A. Evans||Starman Karen Jane Allen Bruce A. Evans
87|Saved!|Eva Amurri|Michael Urban||Saved! Eva Amurri Michael Urban
88||Jacquiline Alice Newlin|Ralph Spence||Jacquiline Alice Newlin Ralph Spence
89|The Girl In The Park|Elias Koteas|David Auburn||The Girl In The Park Elias Koteas David Auburn
90|Sublime|Lawrence Hilton Jacobs|Erik Jendresen||Sublime Lawrence Hilton Jacobs Erik Jendresen
91|The Barbarian and the Geisha|Marion Robert Morrison|Ellis St. Joseph||The Barbarian and the Geisha Marion Robert Morrison Ellis St. Joseph
92||Yuri Yakovlev|Eldar Ryazanov||Yuri Yakovlev Eldar Ryazanov
93|Police Academy 5: Assignment Miami Beach|David Graf|Neal Israel||Police Academy 5: Assignment Miami Beach David Graf Neal Israel
94|Light Sleeper|William J. Dafoe|Paul Schrader||Light Sleeper William J. Dafoe Paul Schrader
95|Blade Movies|Ronald Francis Perlman|Gene Colan||Blade Movies Ronald Francis Perlman Gene Colan
96|Midnight Express|Irene Miracle|Billy Hayes (smuggler)||Midnight Express Irene Miracle Billy Hayes (smuggler)
97|La venus maldita|Jos? Luis L?pez V?zquez|;(story)||La venus maldita Jos? Luis L?pez V?zquez ;(story)
98||Jennifer O'Neill|Max Ehrlich||Jennifer O'Neill Max Ehrlich
99||Charles Dorety|Tom Buckingham||Charles Dorety Tom Buckingham
100|Call Me|Stephen McHattie|Sollace Mitchell||Call Me Stephen McHattie Sollace Mitchell
101|Computer-animated films|Dana Elaine Owens|Jon Vitti||Computer-animated films Dana Elaine Owens Jon Vitti
102|Baise-moi|Karine Bach|Virginie Despentes||Baise-moi Karine Bach Virginie Despentes
103||Laila|||Laila
104||Randhir Kapoor|Virendra Sinha||Randhir Kapoor Virendra Sinha
105|Rhapsody|John Ericson (Actor)|Henry Handel Richardson||Rhapsody John Ericson (Actor) Henry Handel Richardson
106|She Married Her Boss|Lily Claudette Chauchoin|Gregory La Cava||She Married Her Boss Lily Claudette Chauchoin Gregory La Cava
107|Carbon Copy|George Segal|Stanley Shapiro||Carbon Copy George Segal Stanley Shapiro
108|Shaolin Warrior|Chia-Liang Liu Chia Hui Liu|||Shaolin Warrior Chia-Liang Liu Chia Hui Liu
109|Yoju Toshi|Stuart Miller|Hideyuki Kikuchi||Yoju Toshi Stuart Miller Hideyuki Kikuchi
110|Day of the Roses|Stephen Curry|||Day of the Roses Stephen Curry
111|The Bad Lands|Henry DeWitt Carey II|Harvey Gates||The Bad Lands Henry DeWitt Carey II Harvey Gates
112||Anna Kanakis|||Anna Kanakis
113||Coleen Gray|Jo Eisinger||Coleen Gray Jo Eisinger
114|||Peter Alton  Peter Spirer||Peter Alton  Peter Spirer
115|Adventureland|Ryan Rodney Reynolds|Greg Mottola||Adventureland Ryan Rodney Reynolds Greg Mottola
116|Okka Magaadu|Nandamuri Bala Krishna, Simran, Anushka, Nisha Kothari|Chinthapalli Ramana||Okka Magaadu Nandamuri Bala Krishna, Simran, Anushka, Nisha Kothari Chinthapalli Ramana
117|Camp Nowhere|Wendy Makkena|Eliot Wald||Camp Nowhere Wendy Makkena Eliot Wald
118|The Burning of the Red Lotus Temple||Zhengqiu Zheng,Shang K'ai-jan||The Burning of the Red Lotus Temple  Zhengqiu Zheng,Shang K'ai-jan
119|Pacific Heights|Melanie Richards Griffith|Daniel Pyne||Pacific Heights Melanie Richards Griffith Daniel Pyne
120||Irene Marie Dunn|Victor Heerman||Irene Marie Dunn Victor Heerman
121||Gary Leonard Oldman|Suzette Couture||Gary Leonard Oldman Suzette Couture
122|City Hall|Danny Aiello|Bo Goldman||City Hall Danny Aiello Bo Goldman
123||Jerome Lester Horwitz|John Grey||Jerome Lester Horwitz John Grey
124|Plein soleil|Maurice Ronet|Paul G?gauff||Plein soleil Maurice Ronet Paul G?gauff
125|Heavy Traffic|Joseph Kaufmann Beverly Hope Atkinson Frank DeKova Terri Haven Mary Dean Lauria|Ralph Bakshi||Heavy Traffic Joseph Kaufmann Beverly Hope Atkinson Frank DeKova Terri Haven Mary Dean Lauria Ralph Bakshi
126||Billy Eugene Burrows|Mark Sevi||Billy Eugene Burrows Mark Sevi
127|Mackenna's Gold|Camilla Sparv|Carl Foreman||Mackenna's Gold Camilla Sparv Carl Foreman
128|Master of the Flying Guillotine|Kam Kang|Jimmy Wang Yu||Master of the Flying Guillotine Kam Kang Jimmy Wang Yu
129|L'Homme qui vendit son u00E2me au diable||||L'Homme qui vendit son u00E2me au diable
130|The Land Before Time VIII: The Big Freeze|Miriam Flynn|John Loy||The Land Before Time VIII: The Big Freeze Miriam Flynn John Loy
131||Swathi|||Swathi
132|Operation Condor 2: The Armour of the Gods|u9673u6E2Fu751F (Chan Kong Sang)|Edward Tang||Operation Condor 2: The Armour of the Gods u9673u6E2Fu751F (Chan Kong Sang) Edward Tang
133|Lloyd's of London|Tyrone Edmund Power, Jr.|Ernest Pascal||Lloyd's of London Tyrone Edmund Power, Jr. Ernest Pascal
134|Vertigo|James Stewart (actor)|Samuel Albert Tanenbaum||Vertigo James Stewart (actor) Samuel Albert Tanenbaum
135|Serial (film)||||Serial (film)
136|Daai chek liu|Cecilia Cheung|Yau Nai-Hoi||Daai chek liu Cecilia Cheung Yau Nai-Hoi
137|Road Gang|Donald Woods (actor)|Abern Finkel||Road Gang Donald Woods (actor) Abern Finkel
138||Hema Malini|K.A Narayan||Hema Malini K.A Narayan
139||Salman Khan|Bala||Salman Khan Bala
140||William Davis Garwood Jr.|||William Davis Garwood Jr.
141||Rie Yokoyama|Toru Shinohara||Rie Yokoyama Toru Shinohara
142|A Midnight Clear|Kevin Dillon|William Wharton||A Midnight Clear Kevin Dillon William Wharton
143|The Bros.|Dennis Scott (basketball)|Jonathan Figg||The Bros. Dennis Scott (basketball) Jonathan Figg
144||William Frank Jones|Robert Thom||William Frank Jones Robert Thom
145|Serial (film)|Hal Taliaferro|Ronald Davidson||Serial (film) Hal Taliaferro Ronald Davidson
146|The Champ|Richard Bartlett Schroder|Walter Newman (screenwriter)||The Champ Richard Bartlett Schroder Walter Newman (screenwriter)
147|Banlieue 13|David Belle|Bibi Naceri||Banlieue 13 David Belle Bibi Naceri
148||Justin Whalin|Paul Anthony||Justin Whalin Paul Anthony
149|Bad Boys|Will Smith|Michael Barrie||Bad Boys Will Smith Michael Barrie
150||Malini Fonseka|||Malini Fonseka
151||Moses Gunn|Aaron Spelling||Moses Gunn Aaron Spelling
152|Accumulator 1|Zden?k Sv?r?k|Zden?k Sv?r?k||Accumulator 1 Zden?k Sv?r?k Zden?k Sv?r?k
153|Serial (film)|Stanley Price|Ronald Davison||Serial (film) Stanley Price Ronald Davison
154||Luke Goss|Matthew Leutwyler||Luke Goss Matthew Leutwyler
155|Paradise Road|Glenn Close|Betty Jeffrey||Paradise Road Glenn Close Betty Jeffrey
156||Robert Peter Williams|Neil Simon||Robert Peter Williams Neil Simon
157|Harry and Tonto|Chief Dan George|Josh Greenfeld||Harry and Tonto Chief Dan George Josh Greenfeld
158|Rikyu|Rentaro Mikuni|Hiroshi Teshigahara||Rikyu Rentaro Mikuni Hiroshi Teshigahara
159|Brewster's Millions|John Franklin Candy|Herschel Weingrod||Brewster's Millions John Franklin Candy Herschel Weingrod
160|Vivah|Seema Biswas|Sooraj R. Barjatya||Vivah Seema Biswas Sooraj R. Barjatya
161||Eddie Deezen|Tim Conway||Eddie Deezen Tim Conway
162|||Nicholas Mosley||Nicholas Mosley
163||Craig Sheffer|Joel Soisson||Craig Sheffer Joel Soisson
164|Tuntematon sotilas|Kosti Klemel?|V?in? Linna||Tuntematon sotilas Kosti Klemel? V?in? Linna
165||Donovan Leitch, Jr.|Janet McClean||Donovan Leitch, Jr. Janet McClean
166||Georges Corraface|Vicente Aranda Ezguerra||Georges Corraface Vicente Aranda Ezguerra
167||Kati Outinen|Timo Puustinen||Kati Outinen Timo Puustinen
168|Satya|Urmila Matondkar|Anurag Kashyap||Satya Urmila Matondkar Anurag Kashyap
169|Ruggles of Red Gap|Charles Ruggles|Harlan Thompson||Ruggles of Red Gap Charles Ruggles Harlan Thompson
170|Attack of the Puppet People|John Hoysradt|George Worthing Yates||Attack of the Puppet People John Hoysradt George Worthing Yates
171||Beyonc? Knowles|Elizabeth Hunter||Beyonc? Knowles Elizabeth Hunter
172|Crossing Delancey|Sylvia Miles|Susan Sandler||Crossing Delancey Sylvia Miles Susan Sandler
173||Peter Barton|Randy Feldman||Peter Barton Randy Feldman
174|Trial and Error|Jeff Daniels (actor)|Sara Bernstein Gregory Bernstein||Trial and Error Jeff Daniels (actor) Sara Bernstein Gregory Bernstein
175||Wojciech Pokora|Stanis?aw Bareja||Wojciech Pokora Stanis?aw Bareja
176|Renegades||||Renegades
177||Wendell Reid Corey|Ketti Frings||Wendell Reid Corey Ketti Frings
178|Hope Floats|Sandra Annette Bullock|Steven Rogers||Hope Floats Sandra Annette Bullock Steven Rogers
179||Alan Badel|Sidney Carroll||Alan Badel Sidney Carroll
180|Fata Morgana|Marianne Benet Antonia Casas Alberto Dalbu00E9s Antonio Ferrandis|Gonzalo Su?rez||Fata Morgana Marianne Benet Antonia Casas Alberto Dalbu00E9s Antonio Ferrandis Gonzalo Su?rez
181||Kamal Haasan|||Kamal Haasan
182||Shraga Herpaz<BR>Niza Shaul<BR>Shimeon Finkel<BR>Hana Maron<BR>Andy Richman<BR>Anat Azmon|Yaky Yosha||Shraga Herpaz<BR>Niza Shaul<BR>Shimeon Finkel<BR>Hana Maron<BR>Andy Richman<BR>Anat Azmon Yaky Yosha
183||Mariel Hadley Hemingway|Larry Jeff McMurtry||Mariel Hadley Hemingway Larry Jeff McMurtry
184|Eklavya: The Royal Guard|Raima Dev Varma|Vidhu Vinod Chopra||Eklavya: The Royal Guard Raima Dev Varma Vidhu Vinod Chopra
185||Ashok Kumar|Apurba Kishore Bir||Ashok Kumar Apurba Kishore Bir
186|The Left Hand of God|Everett Eugene Grunz|Alfred Hayes||The Left Hand of God Everett Eugene Grunz Alfred Hayes
187||Jatin Khanna|||Jatin Khanna
188||Anna Raymond Massey|Bob Kellett||Anna Raymond Massey Bob Kellett
189||Jean Seberg|Roger MacDougall||Jean Seberg Roger MacDougall
190|Serial (film)|Bud Geary|Barney Sarecky||Serial (film) Bud Geary Barney Sarecky
191||Blanche Friderici|Lenore J. Coffee||Blanche Friderici Lenore J. Coffee
192||Shari Shattuck|Hugh Parks||Shari Shattuck Hugh Parks
193||Carole Mathews|David Stern||Carole Mathews David Stern
194||Billy Bob Thornton|Les Charles||Billy Bob Thornton Les Charles
195|Rondo|Milena Dravi?|Zvonimir Berkovi?||Rondo Milena Dravi? Zvonimir Berkovi?
196|The Agony and the Ecstasy|Reginald Carey Harrison|Irving Stone||The Agony and the Ecstasy Reginald Carey Harrison Irving Stone
197|Meeting Resistance||Molly Bingham Steve Connors||Meeting Resistance  Molly Bingham Steve Connors
198||Vittorio Gassman|Ivan Shane Maxwell Shane Ivan Tors||Vittorio Gassman Ivan Shane Maxwell Shane Ivan Tors
199|I Was a Teenage Frankenstein|Whit Bissel|Herman Cohen||I Was a Teenage Frankenstein Whit Bissel Herman Cohen
200|Cycle Psycho|Joseph Turkel|John Lawrence||Cycle Psycho Joseph Turkel John Lawrence
201||Issur Danielovitch|Irving Stone (novel) Norman Corwin||Issur Danielovitch Irving Stone (novel) Norman Corwin
202||Jerome Lester Horwitz|||Jerome Lester Horwitz
203|Valiant|Richard Michael Mayall|Jordan Katz||Valiant Richard Michael Mayall Jordan Katz
204|Rio Bravo|Angeline Brown|Leigh Brackett||Rio Bravo Angeline Brown Leigh Brackett
205|War of the Worlds|Hannah Dakota Fanning|H. G. Wells||War of the Worlds Hannah Dakota Fanning H. G. Wells
206|Palmetto|Woodrow Tracy Harrelson|James Hadley Chase||Palmetto Woodrow Tracy Harrelson James Hadley Chase
207|The Lonedale Operator|Verner Clarges|Mack Sennett||The Lonedale Operator Verner Clarges Mack Sennett
208||William Davis Garwood Jr.|Daniel Carson Goodman||William Davis Garwood Jr. Daniel Carson Goodman
209|Rockin' with Judy Jetson|Ruth Buzzi|Joseph Barbera||Rockin' with Judy Jetson Ruth Buzzi Joseph Barbera
210||Dyanne Maurer|Marven McGara||Dyanne Maurer Marven McGara
211|Sorry, Haters|Sandra Oh|Jeff Stanzler||Sorry, Haters Sandra Oh Jeff Stanzler
212|Gilda Live|Gilda Susan Radner|Mike Nichols Anne Beatts||Gilda Live Gilda Susan Radner Mike Nichols Anne Beatts
213||Konidela Siva Sankara Vara Prasad|||Konidela Siva Sankara Vara Prasad
214|Andrey Rublyov|Anatoli Solonitsyn|Andrei Arsenyevich Tarkovsky||Andrey Rublyov Anatoli Solonitsyn Andrei Arsenyevich Tarkovsky
215|Bucking Broadway|Henry DeWitt Carey II|George Hively||Bucking Broadway Henry DeWitt Carey II George Hively
216|Transylvania 6-5000|John Byner|Rudy De Luca||Transylvania 6-5000 John Byner Rudy De Luca
217||William Davis Garwood Jr.|||William Davis Garwood Jr.
218||Mukul Dev|||Mukul Dev
219|The Ultimate Gift|Donna Cherry|Jim Stovall||The Ultimate Gift Donna Cherry Jim Stovall
220||Gilbert Gottfried|Kevin Campbell||Gilbert Gottfried Kevin Campbell
221||Dale Hopkins|Thomas Matthiesen||Dale Hopkins Thomas Matthiesen
222|Alvin Purple Rides Again|Alan Finney (Actor)|Alan Finney (actor)||Alvin Purple Rides Again Alan Finney (Actor) Alan Finney (actor)
223||Malcolm Smith (motorcyclist)|||Malcolm Smith (motorcyclist)
224||Cecilia Cheung|Yau Nai-Hoi||Cecilia Cheung Yau Nai-Hoi
225||Diane Keen|Tudor Gates||Diane Keen Tudor Gates
226|Mikau00EBl|Benjamin Christensen|Carl Theodor Dreyer||Mikau00EBl Benjamin Christensen Carl Theodor Dreyer
227||Ricky Der|Robert Day (film director)||Ricky Der Robert Day (film director)
228|Fortress|Rachel Ward|Gabrielle Lord||Fortress Rachel Ward Gabrielle Lord
229|Black Hole|Kristy Swanson|David Goodin||Black Hole Kristy Swanson David Goodin
230|Bad Dreams|Harris Yulin|P.J. Pettiette||Bad Dreams Harris Yulin P.J. Pettiette
231||Donna Spence|||Donna Spence
232|Zaza|Herbert Brough Falcon Marshall|Zoe Akins||Zaza Herbert Brough Falcon Marshall Zoe Akins
233||Andrei Arsenyevich Tarkovsky|Alexander Sokurov||Andrei Arsenyevich Tarkovsky Alexander Sokurov
234|The Red Badge of Courage|Douglas Dick|John Marcellus Huston||The Red Badge of Courage Douglas Dick John Marcellus Huston
235|Serial (film)|Forrest Taylor|Joseph F. Poland||Serial (film) Forrest Taylor Joseph F. Poland
236|The Good Night|Penu00E9lope Cruz Su00E1nchez|Jake Paltrow||The Good Night Penu00E9lope Cruz Su00E1nchez Jake Paltrow
237|Nothing to Lose|Arisara Wongchalee Pierre Png|Danny Pang||Nothing to Lose Arisara Wongchalee Pierre Png Danny Pang
238||Tangi Miller|Mark Jones (screenwriter)||Tangi Miller Mark Jones (screenwriter)
239|Supergator|Brad Johnson|Brian Clyde||Supergator Brad Johnson Brian Clyde
240|One Man's Journey|Mary Jeanette Robinson|Katharine Havilland-Taylor||One Man's Journey Mary Jeanette Robinson Katharine Havilland-Taylor
241|Kaliyugaya|Punya Heendeniya Henry Jayasena Trelicia Gunawardena Wickrema Bogoda|A.J. Gunawardena||Kaliyugaya Punya Heendeniya Henry Jayasena Trelicia Gunawardena Wickrema Bogoda A.J. Gunawardena
242||Yamila Greco  Eduardo Poli  Andrea Alfonso  Rodrigo Bianco  Silvia Paz  Salvador Haidar|Mariano Peralta||Yamila Greco  Eduardo Poli  Andrea Alfonso  Rodrigo Bianco  Silvia Paz  Salvador Haidar Mariano Peralta
243|||Michael Sauter||Michael Sauter
244||H?meyra|?a?an Irmak||H?meyra ?a?an Irmak
245|Vampire Circus|Sarah Ward|Judson Kinberg||Vampire Circus Sarah Ward Judson Kinberg
246|The Coastline||||The Coastline
247||Guy Bridges Kibbee|||Guy Bridges Kibbee
248||Mumtaz (actress)|||Mumtaz (actress)
249||William Davis Garwood Jr.|||William Davis Garwood Jr.
250||Wallace Fitzgerald Beery|||Wallace Fitzgerald Beery
251|Gwendoline|Brent Huff|Just Jaeckin||Gwendoline Brent Huff Just Jaeckin
252||Hobart Bosworth Betty Harte|Robert Louis Stevenson||Hobart Bosworth Betty Harte Robert Louis Stevenson
253|A Home at the End of the World|Colin James Farrell|Michael Cunningham||A Home at the End of the World Colin James Farrell Michael Cunningham
254||Ethel Agnes Zimmermann|Lamar Trotti (story) Phoebe Ephron Henry Ephron||Ethel Agnes Zimmermann Lamar Trotti (story) Phoebe Ephron Henry Ephron
255||Othon Bastos  Mauru00EDcio do Valle|||Othon Bastos  Mauru00EDcio do Valle
256||Chaaru Haasan|Poornachandra Tejaswi||Chaaru Haasan Poornachandra Tejaswi
257|The Mirror||||The Mirror
258|Pat and Mike|Aldo DaRe|Garson Kanin||Pat and Mike Aldo DaRe Garson Kanin
259|Genie Award for Best Motion Picture|Patrick Goyette|Robert Lepage||Genie Award for Best Motion Picture Patrick Goyette Robert Lepage
260|Party|Vijaya Khote|Govind Nihalani||Party Vijaya Khote Govind Nihalani
261|The Computer Wore Tennis Shoes|Kurt Vogel Russell|Joseph L. McEveety||The Computer Wore Tennis Shoes Kurt Vogel Russell Joseph L. McEveety
262|Rain Without Thunder|Jeff Daniels (actor)|Gary Bennet||Rain Without Thunder Jeff Daniels (actor) Gary Bennet
263|Mabel and Fatty's Married Life|Roscoe Arbuckle|||Mabel and Fatty's Married Life Roscoe Arbuckle
264|Sissi - Die junge Kaiserin|Gustav Knuth|Ernst Marischka||Sissi - Die junge Kaiserin Gustav Knuth Ernst Marischka
265|Contract Killers|Wolf Muser|Justin B. Rhodes||Contract Killers Wolf Muser Justin B. Rhodes
266||Eric Lidberg|Tony Huston||Eric Lidberg Tony Huston
267|Gangster No. 1|Paul Bettany|Johnny Ferguson||Gangster No. 1 Paul Bettany Johnny Ferguson
268|George of the Jungle|Thomas Hayden Church|Dana Olsen||George of the Jungle Thomas Hayden Church Dana Olsen
269|Freedom Writers|Imelda Mary Philomena Bernadette Staunton|Erin Gruwell||Freedom Writers Imelda Mary Philomena Bernadette Staunton Erin Gruwell
270||Julie Depardieu|Etienne Faure||Julie Depardieu Etienne Faure
271|Akasa Veedhilo|Akkineni Nagarjuna Rao|Singeetam Srinivasa Rao||Akasa Veedhilo Akkineni Nagarjuna Rao Singeetam Srinivasa Rao
272||The Snow Queen (1957 film)#Voices|Bob Fisher||The Snow Queen (1957 film)#Voices Bob Fisher
273||Ronald Francis Perlman|Mike Mignola||Ronald Francis Perlman Mike Mignola
274|An Everlasting Piece|Billy Connolly|Barry McEvoy||An Everlasting Piece Billy Connolly Barry McEvoy
275||Nandamuri Bala Krishna, Tabu, Shriya, Chalapathi Rao, Devayani, Jayaprakash Reddy|Ratnam||Nandamuri Bala Krishna, Tabu, Shriya, Chalapathi Rao, Devayani, Jayaprakash Reddy Ratnam
