id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/deathYear|http://dbpedia.org/ontology/birthYear|https://www.scads.de/movieBenchmark/ontology/endYear|https://www.scads.de/movieBenchmark/ontology/startYear|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/primaryProfessions|https://www.scads.de/movieBenchmark/ontology/runtimeMinutes|aggregate value
112|Peril at Pitcairn||9|1||||1959-01-01|Adventure||60|Peril at Pitcairn 9 1 Adventure 0 1959-01-01 Peril at Pitcairn 60
113||Philip Akin||||1950-01-01||||actor,miscellaneous||Philip Akin actor,miscellaneous 1950-01-01
114|Appointment at Tara-Bi||1|3||||1961-01-01|Adventure||60|Appointment at Tara-Bi Adventure 0 1 Appointment at Tara-Bi 1961-01-01 3 60
115||Charles Napier|||2011-01-01|1936-01-01||||actor,soundtrack,music_department||Charles Napier actor,soundtrack,music_department 2011-01-01 1936-01-01
116||Nancy Gates|||2019-01-01|1926-01-01||||actress,soundtrack||Nancy Gates 2019-01-01 1926-01-01 actress,soundtrack
117||Paul Haddad|||2020-01-01|1963-01-01||||actor||actor 2020-01-01 1963-01-01 Paul Haddad
118|Uncle Harry's Horrible House of Horrors||10|2||||1994-01-01|Animation,Comedy,Fantasy||21|2 21 Uncle Harry's Horrible House of Horrors 0 1994-01-01 10 Uncle Harry's Horrible House of Horrors Animation,Comedy,Fantasy
119||Jason Horwitch||||||||producer,writer||producer,writer Jason Horwitch
120||Dipankar Dey||||1944-01-01||||actor,miscellaneous||Dipankar Dey actor,miscellaneous 1944-01-01
121||Harry Arnie|||1984-01-01|1907-01-01||||actor||actor Harry Arnie 1984-01-01 1907-01-01
122||Paul Harvey|||1955-01-01|1882-01-01||||actor||Paul Harvey 1882-01-01 1955-01-01 actor
123||Fritz Feld|||1993-01-01|1900-01-01||||actor,miscellaneous,soundtrack||1900-01-01 1993-01-01 Fritz Feld actor,miscellaneous,soundtrack
124||Sari Mordana||||||||actress||actress Sari Mordana
125||Fay Bainter|||1968-01-01|1893-01-01||||actress,soundtrack||1893-01-01 Fay Bainter actress,soundtrack 1968-01-01
126||Ver?nica S?nchez||||1977-01-01||||actress,soundtrack||1977-01-01 actress,soundtrack Ver?nica S?nchez
127||Nick Gomez||||1963-01-01||||director,writer,actor||1963-01-01 Nick Gomez director,writer,actor
128||Tom Dyer||||||||||Tom Dyer
129||Bernard Cornwell||||1944-01-01||||writer||writer Bernard Cornwell 1944-01-01
130||Walter Brooke|||1986-01-01|1914-01-01||||actor||actor Walter Brooke 1986-01-01 1914-01-01
131||Candy Moore||||1947-01-01||||actress||Candy Moore 1947-01-01 actress
132|Le 8 mai 1945, la capitulation|||||||2005-01-01|Documentary,History,War||56|Documentary,History,War 2005-01-01 56 Le 8 mai 1945, la capitulation 0 Le 8 mai 1945, la capitulation
133||John Allegra||||||||actor||actor John Allegra
134||Ami Canaan Mann||||1969-01-01||||director,writer,soundtrack||1969-01-01 Ami Canaan Mann director,writer,soundtrack
135||Christopher Redman||||1980-01-01||||actor,director,writer||Christopher Redman 1980-01-01 actor,director,writer
136||Helmut Weiss|||1969-01-01|1907-01-01||||director,actor,writer||Helmut Weiss 1907-01-01 director,actor,writer 1969-01-01
137||Naaman Brown|||1988-01-01|1916-01-01||||actor||1988-01-01 1916-01-01 actor Naaman Brown
138|A Bride for the Captain||23|3||||1962-01-01|Adventure||48|Adventure A Bride for the Captain 1962-01-01 0 23 48 A Bride for the Captain 3
139|The Damage Done||20|4||||1996-01-01|Crime,Drama,Mystery|||20 1996-01-01 Crime,Drama,Mystery 0 The Damage Done 4 The Damage Done
140||Hugo Grimaldi|||1998-01-01|1912-01-01||||miscellaneous,editor,producer||Hugo Grimaldi 1912-01-01 1998-01-01 miscellaneous,editor,producer
141||Willis Bouchey|||1977-01-01|1907-01-01||||actor||1977-01-01 actor 1907-01-01 Willis Bouchey
142||Kristina Lilley||||1963-01-01||||actress||1963-01-01 Kristina Lilley actress
143|Take Care of My Child||11|4||||1956-01-01|Drama||30|30 0 Drama Take Care of My Child 11 1956-01-01 4 Take Care of My Child
144||Jean-Marc Thibault|||2017-01-01|1923-01-01||||actor,soundtrack,writer||Jean-Marc Thibault 1923-01-01 actor,soundtrack,writer 2017-01-01
145||Sermin H?rmeri?||||1947-01-01||||actress||Sermin H?rmeri? 1947-01-01 actress
146||Roger Til|||2002-01-01|1909-01-01||||actor||Roger Til actor 2002-01-01 1909-01-01
147||Ori Pfeffer||||1975-01-01||||actor,miscellaneous||Ori Pfeffer 1975-01-01 actor,miscellaneous
148||Gertrude Flynn|||1996-01-01|1909-01-01||||actress||Gertrude Flynn 1996-01-01 actress 1909-01-01
149||George Buza||||1949-01-01||||actor||1949-01-01 George Buza actor
150||Rose Barbato||||||||actress||Rose Barbato actress
151|The Car Salesman||1|2||||2001-01-01|Comedy||30|2 30 2001-01-01 The Car Salesman The Car Salesman 0 1 Comedy
152||Gloria Vanderbilt|||2019-01-01|1924-01-01||||actress,miscellaneous||2019-01-01 actress,miscellaneous Gloria Vanderbilt 1924-01-01
153||Robert Dowdell|||2018-01-01|1932-01-01||||actor,camera_department||actor,camera_department Robert Dowdell 1932-01-01 2018-01-01
154||Yan Tual||||||||actor||actor Yan Tual
155||Walter Rathgeber||||||||writer||Walter Rathgeber writer
156|Off-Duty Affair||16|7||||1960-01-01|Drama||30|30 Off-Duty Affair 1960-01-01 0 Drama Off-Duty Affair 7 16
157||Bob Einstein|||2019-01-01|1942-01-01||||writer,actor,producer||2019-01-01 writer,actor,producer 1942-01-01 Bob Einstein
158||Valentina Cardinalli||||1975-01-01||||actress||actress 1975-01-01 Valentina Cardinalli
159||Ivica Matic|||1976-01-01|1948-01-01||||writer,cinematographer,director||1948-01-01 Ivica Matic writer,cinematographer,director 1976-01-01
160||Justin Brady||||||||actor,art_department||Justin Brady actor,art_department
161||James Foley||||1953-01-01||||director,writer,producer||James Foley director,writer,producer 1953-01-01
162|Super Dirty||2|2||||2006-01-01|Reality-TV|||2 Reality-TV 0 2 2006-01-01 Super Dirty Super Dirty
163|Joey the Weep||16|1||||1974-01-01|Crime,Drama||60|1 Crime,Drama Joey the Weep 1974-01-01 0 Joey the Weep 16 60
164||Susan Hampshire||||1937-01-01||||actress,soundtrack||1937-01-01 actress,soundtrack Susan Hampshire
165||Audrey Lives||||||||writer||Audrey Lives writer
166||Natalya Loginova||||||||editor||Natalya Loginova editor
167||Ray Loring|||2008-01-01|1943-01-01||||music_department,composer,producer||1943-01-01 Ray Loring music_department,composer,producer 2008-01-01
168||Richard Lewis||||1947-01-01||||actor,writer,producer||1947-01-01 actor,writer,producer Richard Lewis
169|Katy Perry||2|20||||2009-01-01|Documentary,Music|||20 0 2 Documentary,Music Katy Perry 2009-01-01 Katy Perry
170|Son of a Gun||3|1||||1993-01-01|Crime,Drama,Mystery|||1 Son of a Gun Son of a Gun Crime,Drama,Mystery 0 3 1993-01-01
171||Misha Manson-Smith||||1973-01-01||||director,producer,editor||Misha Manson-Smith 1973-01-01 director,producer,editor
172||Patricia Falken Smith|||2001-01-01|1926-01-01||||writer,miscellaneous||writer,miscellaneous Patricia Falken Smith 2001-01-01 1926-01-01
173|Interior Decorator||5|1||||2000-01-01|Comedy||29|1 Interior Decorator Interior Decorator 0 29 Comedy 5 2000-01-01
174||Matthew Rapf|||1991-01-01|1920-01-01||||producer,writer||producer,writer 1920-01-01 1991-01-01 Matthew Rapf
175||Liam Barr||||||||actor||Liam Barr actor
176||Tom Clancy|||1990-01-01|1923-01-01||||actor,soundtrack,music_department||1990-01-01 actor,soundtrack,music_department Tom Clancy 1923-01-01
177||Wolfgang Liebeneiner|||1987-01-01|1905-01-01||||director,actor,writer||Wolfgang Liebeneiner director,actor,writer 1987-01-01 1905-01-01
178||Michael Whetstone||||||||production_designer,art_department,art_director||production_designer,art_department,art_director Michael Whetstone
179||Joey Scott||||1953-01-01||||actor||actor 1953-01-01 Joey Scott
180||Cary Joji Fukunaga||||1977-01-01||||producer,director,writer||1977-01-01 producer,director,writer Cary Joji Fukunaga
181||Wright King|||2018-01-01|1923-01-01||||actor||actor 2018-01-01 1923-01-01 Wright King
182||John Van Dreelen|||1992-01-01|1922-01-01||||actor||1922-01-01 John Van Dreelen actor 1992-01-01
183|Chick Sexer||4|1||||2005-01-01|Reality-TV||44|1 Chick Sexer Reality-TV 44 0 2005-01-01 4 Chick Sexer
184||Patrick Loubert||||||||producer,writer,director||producer,writer,director Patrick Loubert
185||Billy Bretherton||||||||||Billy Bretherton
186|Vicious||||||2016-01-01|2013-01-01|Comedy||23|Vicious 23 2013-01-01 0 Vicious Comedy 2016-01-01
187||Jayne Eastwood||||1946-01-01||||actress,soundtrack||Jayne Eastwood 1946-01-01 actress,soundtrack
188||Helmut K?utner|||1980-01-01|1908-01-01||||director,writer,actor||1908-01-01 1980-01-01 director,writer,actor Helmut K?utner
189|Kiss Tomorrow Goodbye||2|3||||2019-01-01|Crime,Drama,Mystery||58|Kiss Tomorrow Goodbye Crime,Drama,Mystery 58 0 2 Kiss Tomorrow Goodbye 2019-01-01 3
190||Mike Grimmer||||||||actor||Mike Grimmer actor
191||Alpesh Patel||||||||editor,editorial_department,producer||editor,editorial_department,producer Alpesh Patel
192||Jeanne Cooper|||2013-01-01|1928-01-01||||actress,soundtrack||2013-01-01 1928-01-01 Jeanne Cooper actress,soundtrack
193|Smokey Joe's Cafe: The Songs of Leiber and Stoller|||||||2002-01-01|Musical||105|105 Smokey Joe's Cafe: The Songs of Leiber and Stoller Smokey Joe's Cafe: The Songs of Leiber and Stoller Musical 2002-01-01 0
194||Estela Bravo||||||||director,writer,producer||Estela Bravo director,writer,producer
195||Mary Adams|||1973-01-01|1910-01-01||||actress||1910-01-01 actress 1973-01-01 Mary Adams
196||Nancy Burrage Owen||||||||writer||writer Nancy Burrage Owen
197||Elvira Curci|||1984-01-01|1900-01-01||||actress||1900-01-01 actress 1984-01-01 Elvira Curci
198||Alan Dexter|||1983-01-01|1918-01-01||||actor,soundtrack||1983-01-01 actor,soundtrack 1918-01-01 Alan Dexter
199||Jay Simms||||||||writer||writer Jay Simms
200||Kamal Xudaverdiyev|||2008-01-01|||||actor||Kamal Xudaverdiyev actor 2008-01-01
201||David Moore||||||||director,producer||director,producer David Moore
202||Chris Snell||||||||actor||Chris Snell actor
203|The Benadryl Brownie||2|3||||2002-01-01|Comedy||29|The Benadryl Brownie 0 2 29 Comedy The Benadryl Brownie 2002-01-01 3
204||Kenneth L. Evans||||||||writer,producer||writer,producer Kenneth L. Evans
205||Mychelle Deschamps||||||||producer,art_department||Mychelle Deschamps producer,art_department
206||Lev Lyubetskiy|||2000-01-01|1920-01-01||||actor||2000-01-01 Lev Lyubetskiy actor 1920-01-01
207|No Help Wanted||10|2||||1954-01-01|Drama||30|2 30 1954-01-01 No Help Wanted 0 Drama 10 No Help Wanted
208||Oscar Zia||||1996-01-01||||actor||Oscar Zia actor 1996-01-01
209||Vance Gerry|||2005-01-01|1929-01-01||||writer,animation_department,art_department||1929-01-01 Vance Gerry writer,animation_department,art_department 2005-01-01
210||Mike Connors|||2017-01-01|1925-01-01||||actor,producer,miscellaneous||actor,producer,miscellaneous Mike Connors 1925-01-01 2017-01-01
211||Palmer Thompson|||1969-01-01|1918-01-01||||writer,producer,actor||writer,producer,actor 1918-01-01 1969-01-01 Palmer Thompson
212||Peter Hansen|||2017-01-01|1921-01-01||||actor||1921-01-01 actor Peter Hansen 2017-01-01
213|Blockhouse Breakdown||6|1||||1973-01-01|Crime,Drama||60|1 Crime,Drama 0 Blockhouse Breakdown Blockhouse Breakdown 6 60 1973-01-01
214||Shin Onuma||||||||director,art_department,animation_department||Shin Onuma director,art_department,animation_department
215||Ty||||||||||Ty
216|Week-End in Winnetka||2|3||||1955-01-01|Drama||30|30 Week-End in Winnetka 0 Week-End in Winnetka 2 Drama 1955-01-01 3
217|Finnegan's Wake||21|6||||1998-01-01|Crime,Drama,Mystery|||Finnegan's Wake 1998-01-01 Crime,Drama,Mystery 0 Finnegan's Wake 21 6
218||Eline Farideh Koning||||||||writer||writer Eline Farideh Koning
219||Spela Rozin||||1943-01-01||||actress||1943-01-01 actress Spela Rozin
220||James Barton|||1962-01-01|1890-01-01||||actor,soundtrack,writer||1890-01-01 1962-01-01 James Barton actor,soundtrack,writer
221|Affirmative Action||9|1||||2000-01-01|Comedy||30|30 Affirmative Action 9 1 0 Affirmative Action Comedy 2000-01-01
222||Scott Boyd||||||||editor,producer,editorial_department||editor,producer,editorial_department Scott Boyd
223|Time and Place Unknown: Part 1||11|1||||1974-01-01|Crime,Drama||60|1 Crime,Drama Time and Place Unknown: Part 1 1974-01-01 0 11 Time and Place Unknown: Part 1 60
224||Michelyn Emelle||||||||actress||Michelyn Emelle actress
225||Elizabeth Shepherd||||1936-01-01||||actress||Elizabeth Shepherd 1936-01-01 actress
226||Tony Musante|||2013-01-01|1936-01-01||||actor,writer||actor,writer 2013-01-01 1936-01-01 Tony Musante
227|The Freak Book||5|6||||2007-01-01|Comedy||29|2007-01-01 The Freak Book 0 29 Comedy 6 5 The Freak Book
228|Alligator Farmer||5|2||||2006-01-01|Reality-TV||43|2 Alligator Farmer 43 Reality-TV 0 Alligator Farmer 2006-01-01 5
229||Jenny Eclair||||1960-01-01||||actress,writer||Jenny Eclair actress,writer 1960-01-01
230||Doris Gilbert|||1993-01-01|1914-01-01||||writer||1993-01-01 writer Doris Gilbert 1914-01-01
231||Steve Givens||||||||composer||Steve Givens composer
232||Albina Matveyeva|||2016-01-01|1939-01-01||||actress||actress 1939-01-01 Albina Matveyeva 2016-01-01
233||Alan Dinehart|||1992-01-01|1918-01-01||||actor,miscellaneous,producer||actor,miscellaneous,producer 1992-01-01 Alan Dinehart 1918-01-01
234||Helen Van Tuyl|||1964-01-01|1892-01-01||||actress||1964-01-01 1892-01-01 Helen Van Tuyl actress
235|Zashchitnik Sedov|||||||1988-01-01|Drama,Short||42|42 Zashchitnik Sedov Drama,Short 1988-01-01 Zashchitnik Sedov 0
236||Anne Howard Bailey|||2006-01-01|1924-01-01||||writer,miscellaneous||writer,miscellaneous 2006-01-01 1924-01-01 Anne Howard Bailey
237||Susan Shipton||||1958-01-01||||editor,editorial_department,sound_department||1958-01-01 editor,editorial_department,sound_department Susan Shipton
238||Cristin Milioti||||1985-01-01||||actress,writer,producer||1985-01-01 Cristin Milioti actress,writer,producer
239||Adrian Bailey||||||||actor||Adrian Bailey actor
240|The Preliminaries||22|8||||1961-01-01|Drama||30|30 The Preliminaries 0 The Preliminaries Drama 22 8 1961-01-01
241|A Doll's Eyes||6|4||||1995-01-01|Crime,Drama,Mystery|||A Doll's Eyes Crime,Drama,Mystery 0 6 1995-01-01 4 A Doll's Eyes
