id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country|aggregate value
10||The Weinstein Company||||||||||||US|productionCompany US The Weinstein Company
11||Ronald Wilson|||||||||||||Directing Ronald Wilson 0
12||Barry Gifford|||||||||||||Barry Gifford 2 Writing
13||Hans Brausewetter|||||||||||||Hans Brausewetter 2
14|You Only Live Once, YOLO!||Seeing the great view of Victoria Falls, the four young actors recall their memories for the last 11 days in Africa and they become emotional. They go rafting on the Zambezi River and enjoy one of the most thrilling experiences in their lives. Jun Yeol and Bo Gum move to do a bungee jump while the others give up.|6|4||||2016-03-25||2016-01-01||||You Only Live Once, YOLO! 2016-03-25 6 4 2016-01-01 Seeing the great view of Victoria Falls, the four young actors recall their memories for the last 11 days in Africa and they become emotional. They go rafting on the Zambezi River and enjoy one of the most thrilling experiences in their lives. Jun Yeol and Bo Gum move to do a bungee jump while the others give up.
15||Don Letts|||||||||||||2 Directing Don Letts
16|Princess||To save Kahlan from execution, reluctant Cara must pose as a polished princess and compete in an elaborate masquerade of manners to win a powerful ruler's affections.|13|2||||2010-02-27||2010-01-01||||2 13 2010-02-27 2010-01-01 Princess To save Kahlan from execution, reluctant Cara must pose as a polished princess and compete in an elaborate masquerade of manners to win a powerful ruler's affections.
17|Episode 7||John Parr gets his revenge against Chef by kidnapping his son, while the police start to piece together the facts about Simone's murder. Danny is thrown out by the Quinlans when he tells them he will be a witness on behalf of Lucy Archer, against Tony Quinlan and his two co-defendants. Mrs Archer is upset about the backlash that has resulted from her daughter's allegations. Bernie tells Father Matthew about her pregnancy.|7|2||||1999-02-21||1999-01-01||||2 7 John Parr gets his revenge against Chef by kidnapping his son, while the police start to piece together the facts about Simone's murder. Danny is thrown out by the Quinlans when he tells them he will be a witness on behalf of Lucy Archer, against Tony Quinlan and his two co-defendants. Mrs Archer is upset about the backlash that has resulted from her daughter's allegations. Bernie tells Father Matthew about her pregnancy. 1999-02-21 1999-01-01 Episode 7
18||Vyara Kovacheva|||||||||||||Vyara Kovacheva 0
19|C-H-O-CHOIR||It’s Christmas time at the DiMeos, and Maya surprises everyone by embracing a newfound holiday spirit. But her view is put to the test when the family van is stolen, along with all their holiday gifts. Worrying he won’t get into college, Ray joins the choir and gets a coveted solo. But when a very attractive new teacher is hired, JJ decides to join his brother and takes Ray’s solo.|10|1||||2016-12-14||2016-01-01||||2016-12-14 1 10 C-H-O-CHOIR 2016-01-01 It’s Christmas time at the DiMeos, and Maya surprises everyone by embracing a newfound holiday spirit. But her view is put to the test when the family van is stolen, along with all their holiday gifts. Worrying he won’t get into college, Ray joins the choir and gets a coveted solo. But when a very attractive new teacher is hired, JJ decides to join his brother and takes Ray’s solo.
20|One Little Pearl|||8|2||||1960-11-28||1960-01-01||||2 8 1960-11-28 1960-01-01 One Little Pearl
21||Lars Mikkelsen|||||||||||||Lars Mikkelsen 2
22|The Invisible Hand of Fate||Billy Quizboy recovers the memories of his former life as a failed TV Quizboy, the loss of his hand and eye in a dogfight, his recruitment into the OSI, and his first mission as a spy.|3|3||||2008-06-15||2008-01-01||||2008-06-15 The Invisible Hand of Fate Billy Quizboy recovers the memories of his former life as a failed TV Quizboy, the loss of his hand and eye in a dogfight, his recruitment into the OSI, and his first mission as a spy. 2008-01-01 3 3
23||Neil Dickson|||||||||||||2 Neil Dickson
24||Grisha Ostrovski|||||||||||||Grisha Ostrovski 2 Directing
25|Episode 4|||4|1||||1994-02-07||1994-01-01||||Episode 4 1 1994-02-07 1994-01-01 4
26|Episode 9|||9|3||||2019-06-08||2019-01-01||||9 2019-06-08 2019-01-01 Episode 9 3
27||Edward Tang|||||||||||||Edward Tang 2 Writing
28||Tony Roberts|||||||||||||2 Tony Roberts
29|Running with the Bulls||Larry’s therapist accuses him of overstepping. Susie grows suspicious of Jeff. Larry bribes an usher at a funeral.|4|9||||2017-10-22||2017-01-01||||9 Running with the Bulls 2017-01-01 4 2017-10-22 Larry’s therapist accuses him of overstepping. Susie grows suspicious of Jeff. Larry bribes an usher at a funeral.
30||Mary Houlihan|||||||||||||Mary Houlihan 0
31|Episode 17||As the merger of Shinhwa group and JK group begins, Junpyo and Jaekyung go out on their first date. However, Junpyo reminds of Jandi every place Jaekyung wants to go. Jaekyung senses it and asks Junpyo to kiss her as the lover. Jihoo and Jandi see this while they are talking on the stairway… Yijung witnesses his father with a woman at his workroom and has a big argument. Suffering deeply, Yijung thinks of Eunjae, his first love. Gaeul signs up for the pottery class and meets Cha Eunjae, the student teacher, in there.|17|1||||2009-03-03||2009-01-01||||1 As the merger of Shinhwa group and JK group begins, Junpyo and Jaekyung go out on their first date. However, Junpyo reminds of Jandi every place Jaekyung wants to go. Jaekyung senses it and asks Junpyo to kiss her as the lover. Jihoo and Jandi see this while they are talking on the stairway… Yijung witnesses his father with a woman at his workroom and has a big argument. Suffering deeply, Yijung thinks of Eunjae, his first love. Gaeul signs up for the pottery class and meets Cha Eunjae, the student teacher, in there. 17 Episode 17 2009-01-01 2009-03-03
32||Jerome Hairston|||||||||||||Jerome Hairston 2 Writing
33||Kenny Monger|||||||||||||Kenny Monger 0
34||Nobuyoshi Nagayama|||||||||||||Nobuyoshi Nagayama 0
35|Best Bike in the World||Stan and Violet get Monty a new bike, but Monty is disappointed to learn that this means his first, smaller bike will be passed on to someone else who can use it. He wonders why it is that you have to let go of your favourite things when you outgrow them.|14|1||||2016-07-07||2016-01-01||||1 2016-07-07 Best Bike in the World Stan and Violet get Monty a new bike, but Monty is disappointed to learn that this means his first, smaller bike will be passed on to someone else who can use it. He wonders why it is that you have to let go of your favourite things when you outgrow them. 2016-01-01 14
36|Floating Fish Factory||Mike travels to Alaska for an adventure aboard a fish processing ship.|8|4||||2008-04-21||2008-01-01||||Mike travels to Alaska for an adventure aboard a fish processing ship. 8 2008-04-21 Floating Fish Factory 2008-01-01 4
37|Tightwad Millionaire|||24|3||||1956-02-19||1956-01-01||||24 Tightwad Millionaire 1956-02-19 1956-01-01 3
38||Pierre Davoust|||||||||||||Pierre Davoust 0
39|Let Columbus Discover You|||31|2||||1955-04-03||1955-01-01||||2 1955-04-03 Let Columbus Discover You 31 1955-01-01
40|The Spear Gun|||3|1||||1957-10-10||1957-01-01||||The Spear Gun 1957-01-01 1 1957-10-10 3
41|A Bride for the Captain|||23|3||||1962-03-11||1962-01-01||||1962-01-01 A Bride for the Captain 23 1962-03-11 3
42|Leather Tanner||Mike goes to Georgia to learn how to make artistic jugs. He then joins Richard Meyer and his sons in upstate New York to learn the ancient trade of tanning leather.|11|3||||2007-07-17||2007-01-01||||Leather Tanner Mike goes to Georgia to learn how to make artistic jugs. He then joins Richard Meyer and his sons in upstate New York to learn the ancient trade of tanning leather. 2007-01-01 2007-07-17 11 3
43||Miles Mander|||||||||||||Miles Mander 2
44||Michael Lai Siu-Tin|||||||||||||Michael Lai Siu-Tin 0
45||Barbara Kopple|||||||||||||1 Barbara Kopple Directing
46|Ede's Bombshell|||25|2||||1962-03-26||1962-01-01||||1962-01-01 2 Ede's Bombshell 1962-03-26 25
47||Jordi Bosch|||||||||||||Jordi Bosch 2
48||Sylvia Pyke|||||||||||||Sylvia Pyke 0
49|Father Hoppe|||26|3||||1956-03-04||1956-01-01||||1956-03-04 Father Hoppe 26 1956-01-01 3
50||John L'Ecuyer|||||||||||||John L'Ecuyer 2 Directing
51|Our Sacred Honor|||13|2||||1954-11-28||1954-01-01||||2 1954-01-01 13 Our Sacred Honor 1954-11-28
52||John Hughes|||||||||||||0 John Hughes
53|The Price||Based on a novel by Jun Ioka, the Hulu series follows the relationship between Keisuke Okuyama, a brilliant attorney and his troubling client Tatsuya Ando who tormented and robbed him of his family in the past.|||1|6||2016-11-18|2016-11-18|2016-01-01||Drama|JP|2016-01-01 Drama ?? http://drama-daisho.com/ 2016-11-18 6 The Price JP ja 2016-11-18 1 false ja Based on a novel by Jun Ioka, the Hulu series follows the relationship between Keisuke Okuyama, a brilliant attorney and his troubling client Tatsuya Ando who tormented and robbed him of his family in the past. Ended
54|Eukaryopolis - The City of Animal Cells||Hank tells us about the city of Eukaryopolis - the animal cell that is responsible for all the cool things that happen in our bodies.|4|1||||2012-02-20||2012-01-01||||2012-01-01 1 Hank tells us about the city of Eukaryopolis - the animal cell that is responsible for all the cool things that happen in our bodies. 2012-02-20 Eukaryopolis - The City of Animal Cells 4
55||Kane Gilliam|||||||||||||Kane Gilliam 0
56|From Phuket to Africa!||Producer Na Young Seok goes to Phuket where the cast of “Reply 1988” is having a celebratory vacation. And he makes a prank on Jun Yeol, Jae Hong and Kyung Pyo and takes them to Africa to shoot “Youth Over Flowers in Africa”. Bo Gum who had to return from the vacation to Korea for a music show filming also joins the trip. The young actors manage to arrive in Namibia with few clothes, and they need to deal with many things from booking hotels, hiring a car, exchanging money to planning their journey.|1|4||||2016-02-19||2016-01-01||||1 Producer Na Young Seok goes to Phuket where the cast of “Reply 1988” is having a celebratory vacation. And he makes a prank on Jun Yeol, Jae Hong and Kyung Pyo and takes them to Africa to shoot “Youth Over Flowers in Africa”. Bo Gum who had to return from the vacation to Korea for a music show filming also joins the trip. The young actors manage to arrive in Namibia with few clothes, and they need to deal with many things from booking hotels, hiring a car, exchanging money to planning their journey. 2016-02-19 4 2016-01-01 From Phuket to Africa!
57|Dark||Richard learns to use his wizard powers by the Sisters of the Light, while Zedd must name a new Seeker when Sister Nicci reveals a shocking secret.|9|2||||2010-01-23||2010-01-01||||2 9 Richard learns to use his wizard powers by the Sisters of the Light, while Zedd must name a new Seeker when Sister Nicci reveals a shocking secret. 2010-01-01 2010-01-23 Dark
58||Clayton H. Baker|||||||||||||Clayton H. Baker 0
59||Bernard Grenet|||||||||||||Bernard Grenet 2
60|La Paliza de el Metido|||21|6||||1999-05-27||1999-01-01||||La Paliza de el Metido 21 1999-05-27 6 1999-01-01
61|The Intruders|||2|2||||1960-10-10||1960-01-01||||2 2 1960-10-10 1960-01-01 The Intruders
62||Jessie Nelson|||||||||||||1 Jessie Nelson Production
63||Tom Bullock|||||||||||||0 Tom Bullock
64|The Adventures of the Good Soldier Schwejk||'Die Abenteuer des braven Soldaten Schwejk is an Austrian television series.Schwejk is a bumbling fool (he claims to have been discharged from the army on the grounds of being a certified idiot) but manages to outwit his superiors and his arch nemesis, the secret policeman ''Bretschneider'' with hilarious results. Set during the first world war, it follow Schwejks adventures as a recruit in the Austro-Hungarian army.|||1|13||1972-02-06|1972-03-20|1972-01-01|60|Comedy|DE, AT|13 'Die Abenteuer des braven Soldaten Schwejk is an Austrian television series.Schwejk is a bumbling fool (he claims to have been discharged from the army on the grounds of being a certified idiot) but manages to outwit his superiors and his arch nemesis, the secret policeman ''Bretschneider'' with hilarious results. Set during the first world war, it follow Schwejks adventures as a recruit in the Austro-Hungarian army. DE, AT Comedy de 1972-02-06 1972-03-20 60 1972-01-01 The Adventures of the Good Soldier Schwejk 1 false de Die Abenteuer des braven Soldaten Schwejk Ended
65|The Calf|||20|1||||1961-01-29||1961-01-01||||1 1961-01-01 20 1961-01-29 The Calf
66||Santi Ricart|||||||||||||Santi Ricart 0
67|Episode 12||Jeha kidnaps Jandi and Junpyo goes to rescue her alone. Jeha and his friends beat Junpyo, but Junpyo bears it. F4 members get into the scene, finish off the situation. When Jeha tries to hit Junpyo again, Jandi protects him. The two are hospitalized, but find out the feeling for each other again. The friends go on a ski trip together, and Junpyo gives Jandi a custom-made necklace. However, Jandi accidently loses it and braves the snowstorm to look for it.|12|1||||2009-02-10||2009-01-01||||1 12 Episode 12 2009-02-10 2009-01-01 Jeha kidnaps Jandi and Junpyo goes to rescue her alone. Jeha and his friends beat Junpyo, but Junpyo bears it. F4 members get into the scene, finish off the situation. When Jeha tries to hit Junpyo again, Jandi protects him. The two are hospitalized, but find out the feeling for each other again. The friends go on a ski trip together, and Junpyo gives Jandi a custom-made necklace. However, Jandi accidently loses it and braves the snowstorm to look for it.
68|Suruga Monkey (3)||Koyomi takes Suruga to see Oshino in order to help her. However, the help he offers isn't the help Koyomi wanted...|8|1||||2009-08-28||2009-01-01||||Koyomi takes Suruga to see Oshino in order to help her. However, the help he offers isn't the help Koyomi wanted... Suruga Monkey (3) 1 8 2009-01-01 2009-08-28
69||Gina Chen Jin|||||||||||||1 Gina Chen Jin
70||Tae Hang-ho|||||||||||||Tae Hang-ho 2
71|U-N– UNFORGETTABLE P-A– PAIN||Ray is miserable after breaking up with Taylor. When Maya cheers him up with a day out, Ray has a plan of his own. Meanwhile, JJ is nervous about his first friend date with Aaron, so Dylan offers to make sure everything goes smoothly; however, it’s everything but smooth. And Kenneth teaches Jimmy how to be the one in charge at home.|15|2||||2018-03-07||2018-01-01||||2018-01-01 2 2018-03-07 Ray is miserable after breaking up with Taylor. When Maya cheers him up with a day out, Ray has a plan of his own. Meanwhile, JJ is nervous about his first friend date with Aaron, so Dylan offers to make sure everything goes smoothly; however, it’s everything but smooth. And Kenneth teaches Jimmy how to be the one in charge at home. U-N– UNFORGETTABLE P-A– PAIN 15
72|Something Always Happens|||35|1||||1954-05-23||1954-01-01||||1954-01-01 Something Always Happens 35 1 1954-05-23
73||Sayid|||||||||||||Sayid 0
74||Lila Lakshmanan|||||||||||||Lila Lakshmanan 0
75||Mel Mendoza-Del Rosario|||||||||||||Mel Mendoza-Del Rosario Writing 0
76|The Hero||Larry plays the hero in the sky and underground; Jeff’s courtship of Ricky Gervais is sabotaged by a nosy waiter.|6|8||||2011-08-14||2011-01-01||||8 The Hero 2011-08-14 2011-01-01 6 Larry plays the hero in the sky and underground; Jeff’s courtship of Ricky Gervais is sabotaged by a nosy waiter.
77|Gekashitsu||Melodrama about a woman refusing surgery.||||||1992-02-08||1992-01-01|50|Drama||1992-02-08 en Gekashitsu Drama 0 Gekashitsu Japan 1992-01-01 0 Released Melodrama about a woman refusing surgery. 50
78|The Trial of Adam Troy||After a murder on the Tiki occurs, Adam is wrongfully accused of the crime and the passengers are asked for their testimonies at his trial.|11|3||||1961-12-17||1961-01-01||||After a murder on the Tiki occurs, Adam is wrongfully accused of the crime and the passengers are asked for their testimonies at his trial. The Trial of Adam Troy 1961-12-17 11 1961-01-01 3
79|Wine Maker||Mike first heads off to Napa Valley to learn how to make wine. Mike then gets dirty at a Kansas Cattle Ranch learning about the cattle business.|7|3||||2007-03-06||2007-01-01||||2007-01-01 Wine Maker 7 2007-03-06 Mike first heads off to Napa Valley to learn how to make wine. Mike then gets dirty at a Kansas Cattle Ranch learning about the cattle business. 3
80|Homicide: Life on the Street||'Homicide: Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit. It ran for seven seasons on NBC from 1993 to 1999, and was succeeded by a TV movie, which also acted as the de facto series finale. The series was originally based on David Simon's book Homicide: A Year on the Killing Streets. Many of the characters and stories used throughout the show were based on events depicted in the book, which was also part of the basis for Simon's own series, The Wire on HBO.Although Homicide featured an ensemble cast, Andre Braugher emerged as the series' breakout star through his portrayal of Frank Pembleton. The show won Television Critics Association Awards for Outstanding Achievement in Drama in 1996, 1997, and 1998. It also became the first drama ever to win three Peabody Awards for best drama in 1993, 1995, and 1997. In 1997, the episode ''Prison Riot'' was ranked No. 32 on TV Guide's 100 Greatest Episodes of All Time. In 2007, it was listed as one of Time magazine's ''Best TV Shows of All-TIME.'' In 1996 TV Guide named the series 'The Best Show You're Not Watching'. The show placed #46 on Entertainment Weekly's ''New TV Classics'' list.|||7|122||1993-01-31|1999-05-21|1993-01-01|45| Crime|US|1993-01-31 en  Crime en  Drama Homicide: Life on the Street Mystery 122 45 false Homicide: Life on the Street 1993-01-01 7 1999-05-21 US 'Homicide: Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit. It ran for seven seasons on NBC from 1993 to 1999, and was succeeded by a TV movie, which also acted as the de facto series finale. The series was originally based on David Simon's book Homicide: A Year on the Killing Streets. Many of the characters and stories used throughout the show were based on events depicted in the book, which was also part of the basis for Simon's own series, The Wire on HBO.Although Homicide featured an ensemble cast, Andre Braugher emerged as the series' breakout star through his portrayal of Frank Pembleton. The show won Television Critics Association Awards for Outstanding Achievement in Drama in 1996, 1997, and 1998. It also became the first drama ever to win three Peabody Awards for best drama in 1993, 1995, and 1997. In 1997, the episode ''Prison Riot'' was ranked No. 32 on TV Guide's 100 Greatest Episodes of All Time. In 2007, it was listed as one of Time magazine's ''Best TV Shows of All-TIME.'' In 1996 TV Guide named the series 'The Best Show You're Not Watching'. The show placed #46 on Entertainment Weekly's ''New TV Classics'' list. Ended
81|?????????|||18|1||||||||||????????? 1 18
82||Stepan Bubnov|||||||||||||2 Stepan Bubnov
83||Stephen Gyllenhaal|||||||||||||Directing Stephen Gyllenhaal 0
84|Episode 11|||11|1||||1971-11-21||1971-01-01||||1 1971-11-21 11 Episode 11 1971-01-01
85|Episode 11|||11|1||||1972-03-10||1972-01-01||||1 1972-01-01 11 1972-03-10 Episode 11
86|The Feud|||20|2||||1962-02-19||1962-01-01||||2 1962-01-01 1962-02-19 20 The Feud
87||Jimmy Sharp|||||||||||||Jimmy Sharp 0
88||Gaetano Grimaldi Filioli|||||||||||||Gaetano Grimaldi Filioli 0
89|A Party for Tarzan||In a case of mistaken identity, the Guild targets Dr. Venture for assassination, pooping his party for a fancy new friend.|7|6||||2016-03-14||2016-01-01||||A Party for Tarzan 7 2016-03-14 6 2016-01-01 In a case of mistaken identity, the Guild targets Dr. Venture for assassination, pooping his party for a fancy new friend.
90||Samandar Rzayev|||||||||||||Samandar Rzayev 2
91||David Lau|||||||||||||2 David Lau
92|Reunion|||3|3||||1955-09-11||1955-01-01||||1955-09-11 Reunion 1955-01-01 3 3
93|Rapacity In Blue||A super villain launches an assault on the Ventures and Doc's latest invention or a blue vigilante may save the day.|4|6||||2016-02-22||2016-01-01||||6 4 2016-02-22 2016-01-01 A super villain launches an assault on the Ventures and Doc's latest invention or a blue vigilante may save the day. Rapacity In Blue
94|Getting Risky||Mary Jane and Justin go rogue to chase a story as Mary Jane frets about meeting Lee's baby momma.|8|4||||2017-03-07||2017-01-01||||Getting Risky 8 Mary Jane and Justin go rogue to chase a story as Mary Jane frets about meeting Lee's baby momma. 4 2017-01-01 2017-03-07
95|On Your Honor, Your Honor|||8|2||||1954-10-17||1954-01-01||||2 1954-01-01 8 On Your Honor, Your Honor 1954-10-17
96|Docventures||'Documents about the surrounding world and Interesting conversation with experts about documentary subjects. Your hosts: Riku Rantala and Tunna Milonoff. Welcome to the journey!|||4|31||2013-08-28|2016-10-12|2013-01-01|58|Documentary|FI|Returning Series Docventures http://yle.fi/aihe/docventures 58 2013-08-28 2013-01-01 true fi 'Documents about the surrounding world and Interesting conversation with experts about documentary subjects. Your hosts: Riku Rantala and Tunna Milonoff. Welcome to the journey! FI 2016-10-12 Docventures 4 fi 31 Documentary
97||Bill Smitrovich|||||||||||||2 Bill Smitrovich
98|[43] Otorimonogatari [3] Nadeko Medusa - Part 3||Nadeko spent the evening at the Araragi residence after Koyomi mistakes her for running away from home and takes her back to his place. The next morning, she talks to Koyomi's younger sister Tsukihi, a friend from back in grade school.|12|3||||2013-10-06||2013-01-01||||12 2013-01-01 [43] Otorimonogatari [3] Nadeko Medusa - Part 3 Nadeko spent the evening at the Araragi residence after Koyomi mistakes her for running away from home and takes her back to his place. The next morning, she talks to Koyomi's younger sister Tsukihi, a friend from back in grade school. 2013-10-06 3
99||Yoshitaka Nagaoka|||||||||||||Yoshitaka Nagaoka 0
100||Diane Boehme|||||||||||||Diane Boehme Production 0
101||Zoran Sruk|||||||||||||Zoran Sruk 0
102||Anna Pinnock|||||||||||||Anna Pinnock 1
103||Christoffer Hjalmarsson|||||||||||||Creator Christoffer Hjalmarsson 2
104||Yukari Fukui|||||||||||||Yukari Fukui 0
105||Jang Hyuk|||||||||||||Jang Hyuk 2
106|Dirtiest Water Jobs|||18|1||||2005-12-20||2005-01-01||||1 18 Dirtiest Water Jobs 2005-12-20 2005-01-01
107|Los Ni?os Honestos|||16|6||||1999-04-22||1999-01-01||||Los Ni?os Honestos 6 16 1999-04-22 1999-01-01
108||Donatas Banionis|||||||||||||2 Donatas Banionis
109|Episode 19|||19|2||||2017-08-14||2017-01-01||||2 19 Episode 19 2017-01-01 2017-08-14
110|Thondimuthalum Driksakshiyum||Prasad and Sreeja are a couple planning to set up a new life in Kasargod. On a bus journey they end up being robbed by a thief also named Prasad and this lands them up in a police station.||||||2017-06-30||2017-01-01|136|Comedy||?????,  Prasad and Sreeja are a couple planning to set up a new life in Kasargod. On a bus journey they end up being robbed by a thief also named Prasad and this lands them up in a police station. Thondimuthalum Driksakshiyum Comedy ???????????? ?????????????  Drama 2017-01-01  Thriller 0 136 0 2017-06-30 Released India ml
111||Maria Hofst?tter|||||||||||||Maria Hofst?tter 1
112||Stanislaw Mucha|||||||||||||2 Directing Stanislaw Mucha
113||Teddy Productions|||||||||||||Teddy Productions productionCompany
114||Thomas Stipsits|||||||||||||Thomas Stipsits 2 Acting
115|The Quarrel|||15|1||||1960-12-25||1960-01-01||||1960-12-25 The Quarrel 1 1960-01-01 15
116|Deadly Snake Wrangler||'In Australia, Mike Rowe teams up with local business ''Snakes Away'' to capture a poisonous Eastern brown snake without getting bitten, then joins a posse of local ''toadbusters'' in their war against the cane toad, a non-indigenous species destroying the local ecosystem.|2|9||||2012-08-29||2012-01-01||||2012-01-01 2 9 'In Australia, Mike Rowe teams up with local business ''Snakes Away'' to capture a poisonous Eastern brown snake without getting bitten, then joins a posse of local ''toadbusters'' in their war against the cane toad, a non-indigenous species destroying the local ecosystem. Deadly Snake Wrangler 2012-08-29
117|Hitagi Crab (2)||When Hitagi is attacked by a crab god, Oshino is forced to intervene. This allows her to beg the crab to return her feeling and memories.|2|1||||2009-07-10||2009-01-01||||Hitagi Crab (2) 2 1 When Hitagi is attacked by a crab god, Oshino is forced to intervene. This allows her to beg the crab to return her feeling and memories. 2009-07-10 2009-01-01
118|First to Die||A shotgun wedding leaves naval officers John Marmo and Rebecca Braswell in a troubled marriage with a baby. As the relationship crumbles, allegations of infidelity and abuse run rampant. A fierce custody battle pushes both sides in a deadly battle.|3|3||||2016-01-23||2016-01-01||||First to Die A shotgun wedding leaves naval officers John Marmo and Rebecca Braswell in a troubled marriage with a baby. As the relationship crumbles, allegations of infidelity and abuse run rampant. A fierce custody battle pushes both sides in a deadly battle. 2016-01-23 2016-01-01 3 3
119||Channel 4 Television||||||||||||GB|productionCompany GB Channel 4 Television
120|Episode 5|||5|1||||1983-03-06||1983-01-01||||1 Episode 5 1983-01-01 1983-03-06 5
121||????????? ??????????????|||||||||||||productionCompany ????????? ??????????????
122|Mary, Joseph and Larry||Larry proves himself an unskilled Christmas tipper, while both Larry and Jeff prove incompetent at creating believable alibis for the messes they get in. After offending his housekeeper, Larry makes amends with her at the expense of his wife. Later, Larry attempts to reconcile with Cheryl's family after ruining their nativity scene.|9|3||||2002-11-10||2002-01-01||||9 2002-01-01 2002-11-10 Mary, Joseph and Larry 3 Larry proves himself an unskilled Christmas tipper, while both Larry and Jeff prove incompetent at creating believable alibis for the messes they get in. After offending his housekeeper, Larry makes amends with her at the expense of his wife. Later, Larry attempts to reconcile with Cheryl's family after ruining their nativity scene.
123||Raymond Arrieta|||||||||||||Raymond Arrieta 2
124||Adam Bernstein|||||||||||||Adam Bernstein 2 Directing
125||Larry Williams|||||||||||||Larry Williams 0
126|?????????|||17|1||||||||||????????? 17 1
127||Leyla Shikhlinskaya|||||||||||||Leyla Shikhlinskaya 1
128|Episode 3|||3|1||||2015-07-13||2015-01-01||||2015-01-01 1 Episode 3 2015-07-13 3
129||Malou Crisologo|||||||||||||Malou Crisologo 0
130|Episode 3|||3|1||||2016-11-18||2016-01-01||||1 Episode 3 2016-01-01 2016-11-18 3
131||Richard Llewellyn|||||||||||||Richard Llewellyn 0
132|Episode 6|||6|1||||1972-02-23||1972-01-01||||1 1972-02-23 1972-01-01 6 Episode 6
133||James B. Clark|||||||||||||James B. Clark Editing
134||Gesualdo Bufalino|||||||||||||Gesualdo Bufalino 0
135||Giao-Chau Ly|||||||||||||Giao-Chau Ly 0
136||Carlo Fermariello|||||||||||||Carlo Fermariello 0
137||Peter L?hr|||||||||||||2 Peter L?hr
138||Soham Chakraborty|||||||||||||Soham Chakraborty 0
139||Barun Raha|||||||||||||2 Barun Raha
140||Steve Arnold|||||||||||||2 Steve Arnold
141||Jeremy Bronson|||||||||||||Writing 0 Jeremy Bronson
142||Lee Do-gyeong|||||||||||||2 Lee Do-gyeong
143|Plain, Unmarked Envelope|||24|7||||1960-04-03||1960-01-01||||24 7 1960-01-01 Plain, Unmarked Envelope 1960-04-03
